Fecha;ETo(P.MON.);Precipit. efectiva(P.MON.);Horas insolacion;Veloc. viento diurna (*);Veloc. viento nocturna (*);Recorrido viento;Radiacion neta;Temp. media diurna;Hum. media diurna
dd/mm/aaaa;mm;mm;HH:mm;m/s;m/s;km/dia;MJ/m^2;ºC;%
01/01/2005;0.26;0.00;3.98;0.86;1.01;80.87;1.81;-0.38;100.00;
02/01/2005;0.25;0.00;5.29;1.00;1.09;90.55;1.71;0.95;100.00;
03/01/2005;0.29;0.00;7.00;0.76;1.00;76.12;0.88;1.61;94.29;
04/01/2005;0.31;0.00;7.80;0.73;1.09;78.8;0.95;2.07;87.75;
05/01/2005;0.28;0.00;3.83;0.75;0.62;59.1;1.87;-0.88;99.80;
06/01/2005;0.33;0.00;8.01;0.69;0.85;66.44;0.92;1.56;94.44;
07/01/2005;0.29;0.00;5.10;0.62;0.74;58.75;1.81;0.27;98.69;
08/01/2005;0.26;0.00;3.68;0.99;0.91;81.99;1.95;-2.29;100.00;
09/01/2005;0.22;0.00;6.41;0.80;0.63;61.95;1.69;-3.77;99.98;
10/01/2005;0.25;0.00;5.96;0.60;0.57;50.2;1.88;-3.89;99.99;
11/01/2005;0.29;0.00;4.40;0.57;0.32;38.36;1.93;-1.71;100.00;
12/01/2005;0.33;0.52;2.02;0.50;0.69;51.49;1.99;2.19;100.00;
13/01/2005;0.37;3.10;1.63;0.98;0.43;60.83;2.04;4.51;100.00;
14/01/2005;0.37;0.00;0.00;1.27;0.93;95.21;2.05;5.59;100.00;
15/01/2005;0.44;0.00;6.40;1.33;1.00;100.57;1.90;5.05;95.57;
16/01/2005;0.49;0.00;8.22;0.71;0.80;65.23;1.44;4.83;80.60;
17/01/2005;0.47;0.00;8.07;1.13;0.58;73.7;1.47;3.63;85.37;
18/01/2005;0.95;0.00;8.19;6.16;2.13;358.04;1.56;6.30;74.23;
19/01/2005;1.19;0.00;8.33;5.99;2.91;384.39;1.51;7.11;74.79;
20/01/2005;0.98;0.00;8.54;1.13;1.42;110.51;1.25;8.32;63.45;
21/01/2005;0.46;0.00;8.61;1.03;0.82;79.75;1.77;2.42;83.28;
22/01/2005;0.33;0.00;3.82;0.79;0.74;66.1;2.16;-0.27;99.79;
23/01/2005;0.51;0.00;8.48;1.00;0.91;82.34;1.98;2.87;90.99;
24/01/2005;0.93;0.00;8.56;2.36;1.89;183.51;1.69;1.98;69.81;
25/01/2005;1.14;0.00;8.66;4.79;3.08;340.07;1.84;0.88;66.74;
26/01/2005;1.44;0.00;9.06;6.87;3.19;434.85;1.72;0.09;53.01;
27/01/2005;1.14;0.00;8.17;4.51;2.88;319.25;2.00;-0.80;62.40;
28/01/2005;1.11;0.00;7.94;3.19;1.60;206.58;2.07;3.03;62.09;
29/01/2005;1.39;0.00;8.91;4.15;2.31;278.99;2.08;4.10;66.26;
30/01/2005;1.34;0.00;8.96;2.19;2.05;183.08;1.94;3.89;58.00;
31/01/2005;1.25;0.00;9.09;2.06;1.32;146.02;2.06;4.36;56.66;
01/02/2005;0.86;0.00;8.93;0.85;0.78;70.68;2.40;5.99;62.91;
02/02/2005;1.22;0.00;9.11;1.84;0.94;120.1;2.38;7.13;64.22;
03/02/2005;0.95;0.00;8.18;1.62;1.10;117.42;2.64;3.04;70.77;
04/02/2005;0.83;0.00;9.00;1.39;0.97;102.12;2.75;2.30;67.41;
05/02/2005;0.74;0.00;6.58;0.97;0.80;76.55;2.68;1.95;70.69;
06/02/2005;0.58;0.17;6.95;1.14;0.84;85.54;2.74;0.67;87.27;
07/02/2005;0.53;1.68;5.28;2.19;1.36;153.27;2.53;1.44;91.56;
08/02/2005;1.01;0.00;7.93;2.05;1.52;154.4;3.08;4.75;73.27;
09/02/2005;1.17;0.00;9.28;1.28;1.50;120.27;3.25;5.75;62.24;
10/02/2005;1.27;0.00;9.31;0.95;1.39;100.92;3.18;6.42;57.85;
11/02/2005;1.46;0.00;8.73;1.08;1.55;113.62;3.14;8.14;50.75;
12/02/2005;1.97;0.00;9.01;3.21;2.43;243.56;3.08;8.81;56.56;
13/02/2005;2.26;0.00;9.50;5.48;4.05;411.87;3.77;8.61;63.55;
14/02/2005;1.87;0.00;9.57;4.48;2.18;287.71;3.65;4.81;53.36;
15/02/2005;1.65;0.00;9.63;4.68;2.24;299.03;3.95;5.07;55.41;
16/02/2005;1.68;0.00;9.76;4.85;2.34;310.61;4.10;2.73;53.85;
17/02/2005;1.59;0.00;9.80;4.67;1.61;271.47;4.20;3.31;56.14;
18/02/2005;1.24;0.00;9.73;1.51;1.02;109.3;4.26;3.37;56.46;
19/02/2005;2.00;0.00;9.91;5.22;2.17;318.99;4.53;6.37;54.43;
20/02/2005;1.59;0.00;9.65;4.37;2.36;290.56;3.81;4.96;60.58;
21/02/2005;1.45;0.00;9.66;3.56;1.51;218.85;4.36;1.03;50.72;
22/02/2005;1.49;0.00;9.31;4.27;2.47;291.17;4.08;3.70;65.35;
23/02/2005;0.86;0.00;8.79;1.40;0.57;84.84;4.11;0.60;66.35;
24/02/2005;1.34;0.00;8.84;1.74;1.14;124.68;4.99;1.67;54.35;
25/02/2005;1.52;0.00;9.92;3.92;1.81;247.36;5.13;1.18;57.28;
26/02/2005;1.67;0.00;10.20;5.35;2.63;344.65;5.47;1.71;57.39;
27/02/2005;1.62;0.00;10.20;3.73;1.61;230.6;5.11;2.29;53.33;
28/02/2005;1.81;0.00;10.30;5.64;1.88;324.95;5.79;-0.67;37.37;
01/03/2005;1.52;0.00;10.32;2.00;1.09;133.4;5.80;-0.62;37.88;
02/03/2005;2.12;0.00;10.27;3.32;2.21;238.81;5.71;1.91;44.06;
03/03/2005;1.80;0.00;9.73;4.34;1.58;255.57;6.08;2.41;56.70;
04/03/2005;1.84;0.00;10.56;5.59;1.99;327.46;6.34;1.10;50.58;
05/03/2005;2.47;0.00;10.35;5.92;3.74;417.05;6.17;6.20;58.10;
06/03/2005;2.08;0.00;10.64;4.72;2.94;331.08;6.58;3.75;54.92;
07/03/2005;1.92;0.00;10.63;2.32;1.44;162.52;6.72;3.87;39.87;
