Fecha;Dias_Plantacion;GDU_Acumulado;Temp_Max_C;Temp_Min_C;Temp_Suelo_C;Humedad_Relativa_pct;Velocidad_Viento_ms;Precipitacion_Hoy_mm;ETo_mm;Riego_Recomendado_mm;Precip_D1_mm;ETo_D1_mm;Precip_D2_mm;ETo_D2_mm;Precip_D3_mm;ETo_D3_mm;Precip_D4_mm;ETo_D4_mm;Precip_D5_mm;ETo_D5_mm;Precip_D6_mm;ETo_D6_mm;Precip_D7_mm;ETo_D7_mm;Precio_Agua_Hoy
01/01/2005;0;0,0000;0,1500;-1,9800;0,0000;100,0000;0,9400;0,0000;0,2600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0233
02/01/2005;0;0,0000;3,2900;-2,3800;0,0000;100,0000;1,0500;0,0000;0,2500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0350
03/01/2005;0;0,0000;6,2300;-4,3100;0,0000;97,1400;0,8800;0,0000;0,2900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0800
04/01/2005;0;0,0000;6,5400;-5,1100;-0,5550;93,3000;0,9100;0,0000;0,3100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0275
05/01/2005;0;0,0000;-0,1900;-3,7800;-0,7875;99,2000;0,6800;0,0000;0,2800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0654
06/01/2005;0;0,0000;7,6800;-5,1100;-0,9375;96,9000;0,7700;0,0000;0,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0608
07/01/2005;0;0,0000;2,1500;-4,7700;-0,9900;98,5000;0,6800;0,0000;0,2900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0389
08/01/2005;0;0,0000;-0,9100;-3,7800;-1,3675;100,0000;0,9500;0,0000;0,2600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0200
09/01/2005;0;0,0000;-1,1800;-6,1800;-2,0075;100,0000;0,7200;0,0000;0,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0200
10/01/2005;0;0,0000;-2,8500;-6,3800;-2,9450;99,9000;0,5800;0,0000;0,2500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0297
