Fecha;GDU_Acumulado;Temp_Max_C;Temp_Min_C;Temp_Suelo_C;Humedad_Relativa_pct;Velocidad_Viento_ms;Precipitacion_Hoy_mm;ETo_mm;Precip_Manana_mm;ETo_Manana_mm;Precio_Agua_Hoy
01/01/2005;0,0000;0,1004;0,4505;0,2058;1,0000;0,1053;0,0000;0,0341;0,0000;0,0252;0,5368
02/01/2005;0,0000;0,1793;0,4396;0,2058;1,0000;0,1205;0,0000;0,0328;0,0000;0,0323;0,4357
03/01/2005;0,0000;0,2531;0,3868;0,2058;0,9714;0,0970;0,0000;0,0381;0,0000;0,0320;0,0564
04/01/2005;0,0000;0,2609;0,3649;0,1889;0,9330;0,1011;0,0000;0,0407;0,0000;0,0318;0,2767
05/01/2005;0,0000;0,0919;0,4013;0,1819;0,9920;0,0693;0,0000;0,0367;0,0000;0,0295;0,8164
06/01/2005;0,0000;0,2895;0,3649;0,1773;0,9690;0,0817;0,0000;0,0433;0,0000;0,0322;0,5545
07/01/2005;0,0000;0,1506;0,3742;0,1757;0,9850;0,0693;0,0000;0,0381;0,0000;0,0323;0,6949
08/01/2005;0,0000;0,0738;0,4013;0,1642;1,0000;0,1066;0,0000;0,0341;0,0107;0,0275;0,1975
09/01/2005;0,0000;0,0670;0,3356;0,1448;1,0000;0,0748;0,0000;0,0289;0,0167;0,0222;0,4757
10/01/2005;0,0000;0,0251;0,3301;0,1163;0,9990;0,0554;0,0000;0,0328;0,0097;0,0273;0,0000
11/01/2005;0,0000;0,0889;0,3884;0,1074;1,0000;0,0360;0,0000;0,0381;0,0217;0,0312;0,0000
12/01/2005;0,0000;0,1893;0,4943;0,1373;1,0000;0,0582;0,0155;0,0433;0,1629;0,0436;0,6394
13/01/2005;0,0000;0,2360;0,5782;0,1994;1,0000;0,0720;0,0922;0,0486;0,0000;0,0425;0,3485
14/01/2005;0,0000;0,2727;0,5818;0,2707;0,9990;0,1274;0,0000;0,0486;0,0000;0,0442;0,4289
15/01/2005;0,0000;0,2609;0,5181;0,3181;0,9740;0,1357;0,0000;0,0577;0,0022;0,0587;0,6914
16/01/2005;0,0000;0,3276;0,4360;0,3187;0,8990;0,0803;0,0000;0,0643;0,0189;0,0373;0,0000
17/01/2005;0,0000;0,3161;0,3868;0,2925;0,9230;0,0928;0,0000;0,0617;0,0228;0,1198;0,6275
18/01/2005;0,0000;0,3045;0,4067;0,2812;0,8200;0,5485;0,0000;0,1247;0,0000;0,1323;0,7471
19/01/2005;0,0000;0,3430;0,5016;0,2870;0,7820;0,5914;0,0000;0,1562;0,0070;0,0997;0,4360
20/01/2005;0,0000;0,4381;0,4431;0,3125;0,7490;0,1524;0,0000;0,1286;0,0000;0,0400;0,4988
21/01/2005;0,0000;0,2576;0,3630;0,3058;0,8870;0,1025;0,0000;0,0604;0,0000;0,0395;0,6894
22/01/2005;0,0000;0,1137;0,3679;0,2689;0,9896;0,0817;0,0000;0,0433;0,0000;0,0654;0,3108
