Fecha;Dias_Plantacion;GDU_Acumulado;Temp_Max_C;Temp_Min_C;Temp_Suelo_C;Humedad_Relativa_pct;Velocidad_Viento_ms;Precipitacion_Hoy_mm;ETo_mm;Precip_Manana_mm;ETo_Manana_mm;Precio_Agua_Hoy
01/01/2005;0;0,0000;0,1500;-1,9800;0,0000;100,0000;0,9400;0,0000;0,2600;0,5250;0,2955;0,0214
02/01/2005;0;0,0000;3,2900;-2,3800;0,0000;100,0000;1,0500;0,0000;0,2500;0,1110;0,2750;0,0403
03/01/2005;0;0,0000;6,2300;-4,3100;0,0000;97,1400;0,8800;0,0000;0,2900;0,1240;0,3038;0,0556
04/01/2005;0;0,0000;6,5400;-5,1100;-0,5550;93,3000;0,9100;0,0000;0,3100;0,0000;0,2770;0,0593
05/01/2005;0;0,0000;-0,1900;-3,7800;-0,7875;99,2000;0,6800;0,0000;0,2800;0,3590;0,2807;0,0680
06/01/2005;0;0,0000;7,6800;-5,1100;-0,9375;96,9000;0,7700;0,0000;0,3300;0,0000;0,2440;0,0439
07/01/2005;0;0,0000;2,1500;-4,7700;-0,9900;98,5000;0,6800;0,0000;0,2900;0,0000;0,2677;0,0708
08/01/2005;0;0,0000;-0,9100;-3,7800;-1,3675;100,0000;0,9500;0,0000;0,2600;0,0000;0,3194;0,0442
09/01/2005;0;0,0000;-1,1800;-6,1800;-2,0075;100,0000;0,7200;0,0000;0,2200;0,1700;0,1562;0,0260
10/01/2005;0;0,0000;-2,8500;-6,3800;-2,9450;99,9000;0,5800;0,0000;0,2500;0,0000;0,3648;0,0310
11/01/2005;0;0,0000;-0,3100;-4,2500;-3,2375;100,0000;0,4400;0,0000;0,2900;0,3970;0,2814;0,0642
12/01/2005;0;0,0000;3,6900;-0,3800;-2,2550;100,0000;0,6000;0,5200;0,3300;2,8840;0,3644;0,0200
13/01/2005;0;0,0000;5,5500;2,6900;-0,2100;100,0000;0,7000;3,1000;0,3700;0,0000;0,3960;0,0551
14/01/2005;0;0,0000;7,0100;2,8200;2,1325;99,9000;1,1000;0,0000;0,3700;1,0580;0,5058;0,0327
15/01/2005;0;0,0000;6,5400;0,4900;3,6925;97,4000;1,1600;0,0000;0,4400;0,0000;0,5162;0,0403
16/01/2005;0;0,0000;9,2000;-2,5100;3,7125;89,9000;0,7600;0,0000;0,4900;0,0000;0,5075;0,0260
17/01/2005;0;0,0000;8,7400;-4,3100;2,8525;92,3000;0,8500;0,0000;0,4700;0,0000;0,7407;0,0510
18/01/2005;0;0,0000;8,2800;-3,5800;2,4800;82,0000;4,1400;0,0000;0,9500;0,0000;1,2061;0,0200
19/01/2005;0;0,0000;9,8100;-0,1100;2,6700;78,2000;4,4500;0,0000;1,1900;0,6140;0,7229;0,0485
20/01/2005;0;0,0000;13,6000;-2,2500;3,5075;74,9000;1,2800;0,0000;0,9800;0,0000;0,5293;0,0285
21/01/2005;0;0,0000;6,4100;-5,1800;3,2875;88,7000;0,9200;0,0000;0,4600;0,5100;0,2397;0,0307
22/01/2005;0;0,0000;0,6800;-5,0000;2,0750;98,9600;0,7700;0,0000;0,3300;0,4720;0,4755;0,0426
23/01/2005;0;0,0000;8,4100;-4,9800;0,8775;95,5000;0,9500;0,0000;0,5100;0,0000;1,1413;0,0572
24/01/2005;0;0,0000;6,1400;-5,8400;-0,3650;78,4000;2,1200;0,0000;0,9300;0,4530;1,1302;0,0524
25/01/2005;0;0,0000;3,3500;-3,0500;-0,3875;74,6000;3,9400;0,0000;1,1400;0,0000;1,1966;0,0283
26/01/2005;0;0,0000;2,5500;-5,8400;-0,3225;65,6300;5,0300;0,0000;1,4400;0,2730;1,1840;0,0380
27/01/2005;0;0,0000;1,9500;-5,3800;-0,9275;70,7000;3,7000;0,0000;1,1400;1,0830;1,0521;0,0227
28/01/2005;0;0,0000;6,8800;-6,5100;-0,9200;72,2000;2,3900;0,0000;1,1100;0,4340;1,4695;0,0570
29/01/2005;0;0,0000;8,1500;-3,1800;-0,4700;75,0000;3,2300;0,0000;1,3900;0,0000;1,5116;0,0340
30/01/2005;0;0,0000;8,4000;-5,9100;-0,0750;70,1000;2,1200;0,0000;1,3400;0,4400;1,3725;0,0200
31/01/2005;0;0,0000;9,9300;-7,3800;0,6250;69,8500;1,6900;0,0000;1,2500;0,0000;0,9258;0,0539
01/02/2005;0;0,0000;11,6000;-5,3100;1,0725;75,7000;0,8200;0,0000;0,8600;0,0000;1,1571;0,0269
02/02/2005;0;0,0000;12,4700;-4,4400;1,2225;78,7000;1,3900;0,0000;1,2200;0,0000;0,7103;0,0504
03/02/2005;0;0,0000;8,2700;-7,9100;1,0325;80,0000;1,3600;0,0000;0,9500;0,0390;0,8273;0,0430
04/02/2005;0;0,0000;6,0800;-6,4400;0,6625;78,8000;1,1800;0,0000;0,8300;0,3640;0,5211;0,0420
05/02/2005;0;0,0000;5,4100;-5,6400;0,1800;80,7000;0,8900;0,0000;0,7400;0,1100;0,5929;0,0380
06/02/2005;0;0,0000;3,1500;-0,7800;-0,2450;90,9000;0,9900;0,1700;0,5800;1,9520;0,5264;0,0661
07/02/2005;0;0,0000;4,1600;-1,0500;0,0300;93,0000;1,7700;1,6800;0,5300;0,1360;0,9791;0,0421
08/02/2005;0;0,0000;7,9400;-1,8400;0,9675;80,5000;1,7900;0,0000;1,0100;0,0000;0,9957;0,0294
09/02/2005;0;0,0000;9,6700;-3,7100;1,4725;75,9000;1,3900;0,0000;1,1700;0,0000;1,2151;0,0264
10/02/2005;0;0,0000;11,5400;-4,4400;1,8975;72,5000;1,1700;0,0000;1,2700;0,0000;1,7805;0,0587
11/02/2005;0;0,0000;13,2000;-3,5100;2,8600;63,1100;1,3200;0,0000;1,4600;0,0000;1,6647;0,0200
12/02/2005;0;0,0000;12,6800;2,4900;3,7650;65,4500;2,8200;0,0000;1,9700;0,0000;2,5805;0,0392
13/02/2005;0;0,0000;12,6700;1,3500;4,8275;71,2000;4,7700;0,0000;2,2600;0,1250;2,0570;0,0421
14/02/2005;0;0,0000;7,8800;-2,5800;4,9075;62,0900;3,3300;0,0000;1,8700;0,0000;1,2514;0,0381
15/02/2005;0;0,0000;7,5500;-4,1100;4,3050;64,2400;3,4600;0,0000;1,6500;0,0000;1,7340;0,0492
16/02/2005;0;0,0000;5,8800;-4,5100;2,7500;65,4800;3,6000;0,0000;1,6800;0,0000;1,9368;0,0475
17/02/2005;0;0,0000;6,3400;-5,7100;1,1775;68,0000;3,1400;0,0000;1,5900;0,0000;1,6000;0,0570
18/02/2005;0;0,0000;8,1400;-8,5100;0,3575;70,4000;1,2700;0,0000;1,2400;0,0000;1,5116;0,0438
19/02/2005;0;0,0000;10,0000;-5,4400;0,3825;65,9100;3,6900;0,0000;2,0000;0,0000;1,7686;0,0497
20/02/2005;0;0,0000;8,3500;-2,3100;0,9300;70,9000;3,3600;0,0000;1,5900;0,1030;1,7663;0,0265
21/02/2005;0;0,0000;3,8100;-5,4400;0,6325;65,4500;2,5300;0,0000;1,4500;0,0000;1,7191;0,0567
22/02/2005;0;0,0000;6,4100;-4,5700;1,1775;74,1000;3,3700;0,0000;1,4900;0,0000;0,8654;0,0533
23/02/2005;0;0,0000;2,6200;-4,1200;0,2950;78,1000;0,9800;0,0000;0,8600;0,0000;1,1310;0,0318
24/02/2005;0;0,0000;5,4800;-4,9800;-0,3875;69,6200;1,4400;0,0000;1,3400;0,2400;1,7073;0,0446
25/02/2005;0;0,0000;4,2700;-7,2500;-0,3075;68,3600;2,8600;0,0000;1,5200;0,0000;1,6100;0,0555
26/02/2005;0;0,0000;4,3400;-3,6400;-0,6925;68,8100;3,9900;0,0000;1,6700;0,9040;1,6679;0,0653
27/02/2005;0;0,0000;5,6100;-6,7700;-0,7475;69,4800;2,6700;0,0000;1,6200;0,0000;1,9341;0,0470
28/02/2005;0;0,0000;2,4900;-10,6400;-1,6025;53,9100;3,7600;0,0000;1,8100;0,0000;1,3589;0,0465
01/03/2005;0;0,0000;4,2100;-12,5800;-2,6825;55,9800;1,5400;0,0000;1,5200;0,0440;2,7317;0,0408
02/03/2005;0;0,0000;7,3500;-11,5800;-3,1550;61,8200;2,7600;0,0000;2,1200;0,0000;1,7564;0,0497
03/03/2005;0;0,0000;5,8800;-7,1800;-2,9700;70,0000;2,9600;0,0000;1,8000;0,0000;2,0869;0,0292
04/03/2005;0;0,0000;3,9500;-8,3800;-2,5175;60,4900;3,7900;0,0000;1,8400;0,0000;2,7864;0,0485
05/03/2005;0;0,0000;9,9400;-1,3100;-0,4225;66,7200;4,8300;0,0000;2,4700;1,3980;2,0545;0,0200
06/03/2005;0;0,0000;6,2100;-5,2500;0,4750;67,8200;3,8300;0,0000;2,0800;0,0000;2,0429;0,0396
07/03/2005;0;0,0000;7,3400;-7,3800;0,5025;58,5500;1,8800;0,0000;1,9200;0,4660;1,4441;0,0240
08/03/2005;0;0,0000;8,8000;-9,9800;0,5750;64,6400;1,0800;0,0000;1,6700;0,0000;1,9645;0,0470
09/03/2005;0;0,0000;13,3400;-8,9800;-0,0275;56,2100;1,0900;0,0000;2,0400;0,0000;2,6959;0,0200
10/03/2005;0;0,0000;14,2000;-9,2400;0,0850;54,0400;1,2500;0,0000;2,3000;0,0220;1,9325;0,0590
11/03/2005;0;0,0000;12,5400;-7,3700;0,6025;54,2200;1,2700;0,0000;2,2300;0,0000;2,2142;0,0201
12/03/2005;0;0,0000;15,2600;-7,8400;1,9825;49,6400;1,3000;0,0000;2,4400;0,3690;3,3712;0,0559
13/03/2005;0;0,0000;16,6700;-3,6400;3,4975;55,7900;1,4700;0,0000;2,5200;0,0000;2,0764;0,0290
14/03/2005;0;0,0000;15,2000;-1,3100;4,8800;69,4200;1,1700;0,0000;2,0300;0,0000;2,7452;0,0218
15/03/2005;0;0,0000;18,2700;-0,9100;6,5275;66,5200;1,6800;0,0000;2,7900;0,1690;3,1762;0,0200
16/03/2005;0;0,0000;19,3400;-0,0400;7,9300;62,4100;1,7700;0,0000;2,9000;0,0000;3,1920;0,0495
17/03/2005;0;0,0000;18,8700;1,8800;8,8150;59,9800;1,8800;0,0000;2,8200;0,7400;3,1892;0,0509
18/03/2005;0;0,0000;20,4600;2,8200;9,8575;50,6900;2,0000;0,0000;3,4500;1,3530;3,3577;0,0558
19/03/2005;0;0,0000;19,3400;0,7600;10,5575;50,6600;1,8300;0,0000;2,9200;0,0000;3,2566;0,0280
20/03/2005;0;0,0000;18,1300;4,2900;11,0050;71,1000;2,1600;0,0000;2,5400;0,6470;1,5223;0,0537
21/03/2005;0;0,0000;13,8100;7,6100;11,1675;88,2000;4,3600;1,0300;1,2800;0,0000;3,0852;0,0333
22/03/2005;0;0,0000;14,2100;3,1500;10,4075;70,1000;3,2800;0,0000;2,8600;0,0000;1,1560;0,0238
23/03/2005;0;0,0000;11,9400;1,6800;9,4575;83,8000;2,9600;0,0000;1,6400;0,0000;1,7565;0,0200
24/03/2005;0;0,0000;13,6700;3,4200;8,7500;76,1000;2,3200;0,0000;2,2300;3,8270;1,6329;0,0391
25/03/2005;0;0,0000;11,2900;3,5500;7,7950;83,7000;3,0000;4,0200;1,4000;5,0780;2,9514;0,0335
26/03/2005;0;0,0000;13,0000;4,2900;7,5925;84,4000;4,0100;5,2000;2,2900;0,3110;1,7595;0,0569
27/03/2005;0;0,0000;12,0700;3,0900;7,5950;77,9000;2,5700;0,0000;2,2200;0,7010;1,6901;0,0271
28/03/2005;0;0,0000;13,1500;4,2200;7,4750;85,0000;2,8700;0,0000;1,6700;0,0000;2,5546;0,0405
29/03/2005;0;0,0000;13,3400;4,2200;7,9725;75,9000;3,3200;0,0000;2,3800;1,1350;2,5217;0,0484
30/03/2005;0;0,0000;15,6100;4,9600;8,5600;74,0000;3,3500;0,0000;2,7400;0,5690;3,3881;0,0445
31/03/2005;0;0,0000;18,4700;1,9500;9,3375;72,8000;1,4200;0,0000;2,9200;10,5100;3,0464;0,0527
01/04/2005;0;0,0000;18,3400;5,3500;10,1000;75,2000;2,1300;14,7000;2,6000;4,2350;2,4870;0,0516
02/04/2005;0;0,0000;14,3400;6,7500;10,1075;84,1000;2,2600;5,2000;2,1500;1,9450;1,2525;0,0380
03/04/2005;0;0,0000;11,6700;7,5500;9,8200;89,9000;2,1300;2,1700;1,3600;1,9040;2,5996;0,0433
04/04/2005;0;0,0000;15,1300;7,9500;9,8425;84,0000;1,6700;1,3600;2,2400;0,0000;2,0369;0,0432
05/04/2005;0;0,0000;15,6100;3,6900;9,6550;80,8000;1,2200;0,0000;2,5300;0,0000;2,5459;0,0382
