Fecha;KC_calculada;ETo_calculada;ETc_calculada;Altura_planta_m;Fase;GDU_acumulado;Temp_suelo_est_C
01/01/2005;0,00;0,26;0,00;0,00;Barbecho / Sin cultivo;0,00;
02/01/2005;0,00;0,25;0,00;0,00;Barbecho / Sin cultivo;0,00;
03/01/2005;0,00;0,29;0,00;0,00;Barbecho / Sin cultivo;0,00;
04/01/2005;0,00;0,31;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,55
05/01/2005;0,00;0,28;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,79
06/01/2005;0,00;0,33;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,94
07/01/2005;0,00;0,29;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,99
08/01/2005;0,00;0,26;0,00;0,00;Barbecho / Sin cultivo;0,00;-1,37
09/01/2005;0,00;0,22;0,00;0,00;Barbecho / Sin cultivo;0,00;-2,01
10/01/2005;0,00;0,25;0,00;0,00;Barbecho / Sin cultivo;0,00;-2,95
11/01/2005;0,00;0,29;0,00;0,00;Barbecho / Sin cultivo;0,00;-3,24
12/01/2005;0,00;0,33;0,00;0,00;Barbecho / Sin cultivo;0,00;-2,25
13/01/2005;0,00;0,37;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,21
14/01/2005;0,00;0,37;0,00;0,00;Barbecho / Sin cultivo;0,00;2,13
15/01/2005;0,00;0,44;0,00;0,00;Barbecho / Sin cultivo;0,00;3,69
16/01/2005;0,00;0,49;0,00;0,00;Barbecho / Sin cultivo;0,00;3,71
17/01/2005;0,00;0,47;0,00;0,00;Barbecho / Sin cultivo;0,00;2,85
18/01/2005;0,00;0,95;0,00;0,00;Barbecho / Sin cultivo;0,00;2,48
19/01/2005;0,00;1,19;0,00;0,00;Barbecho / Sin cultivo;0,00;2,67
20/01/2005;0,00;0,98;0,00;0,00;Barbecho / Sin cultivo;0,00;3,51
21/01/2005;0,00;0,46;0,00;0,00;Barbecho / Sin cultivo;0,00;3,29
22/01/2005;0,00;0,33;0,00;0,00;Barbecho / Sin cultivo;0,00;2,08
23/01/2005;0,00;0,51;0,00;0,00;Barbecho / Sin cultivo;0,00;0,88
24/01/2005;0,00;0,93;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,36
25/01/2005;0,00;1,14;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,39
26/01/2005;0,00;1,44;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,32
27/01/2005;0,00;1,14;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,93
28/01/2005;0,00;1,11;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,92
29/01/2005;0,00;1,39;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,47
30/01/2005;0,00;1,34;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,08
31/01/2005;0,00;1,25;0,00;0,00;Barbecho / Sin cultivo;0,00;0,62
01/02/2005;0,00;0,86;0,00;0,00;Barbecho / Sin cultivo;0,00;1,07
02/02/2005;0,00;1,22;0,00;0,00;Barbecho / Sin cultivo;0,00;1,22
03/02/2005;0,00;0,95;0,00;0,00;Barbecho / Sin cultivo;0,00;1,03
04/02/2005;0,00;0,83;0,00;0,00;Barbecho / Sin cultivo;0,00;0,66
05/02/2005;0,00;0,74;0,00;0,00;Barbecho / Sin cultivo;0,00;0,18
06/02/2005;0,00;0,58;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,25
07/02/2005;0,00;0,53;0,00;0,00;Barbecho / Sin cultivo;0,00;0,03
08/02/2005;0,00;1,01;0,00;0,00;Barbecho / Sin cultivo;0,00;0,97
09/02/2005;0,00;1,17;0,00;0,00;Barbecho / Sin cultivo;0,00;1,47
10/02/2005;0,00;1,27;0,00;0,00;Barbecho / Sin cultivo;0,00;1,90
11/02/2005;0,00;1,46;0,00;0,00;Barbecho / Sin cultivo;0,00;2,86
12/02/2005;0,00;1,97;0,00;0,00;Barbecho / Sin cultivo;0,00;3,76
13/02/2005;0,00;2,26;0,00;0,00;Barbecho / Sin cultivo;0,00;4,83
14/02/2005;0,00;1,87;0,00;0,00;Barbecho / Sin cultivo;0,00;4,91
15/02/2005;0,00;1,65;0,00;0,00;Barbecho / Sin cultivo;0,00;4,30
16/02/2005;0,00;1,68;0,00;0,00;Barbecho / Sin cultivo;0,00;2,75
17/02/2005;0,00;1,59;0,00;0,00;Barbecho / Sin cultivo;0,00;1,18
18/02/2005;0,00;1,24;0,00;0,00;Barbecho / Sin cultivo;0,00;0,36
19/02/2005;0,00;2,00;0,00;0,00;Barbecho / Sin cultivo;0,00;0,38
20/02/2005;0,00;1,59;0,00;0,00;Barbecho / Sin cultivo;0,00;0,93
21/02/2005;0,00;1,45;0,00;0,00;Barbecho / Sin cultivo;0,00;0,63
22/02/2005;0,00;1,49;0,00;0,00;Barbecho / Sin cultivo;0,00;1,18
23/02/2005;0,00;0,86;0,00;0,00;Barbecho / Sin cultivo;0,00;0,29
24/02/2005;0,00;1,34;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,39
25/02/2005;0,00;1,52;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,31
26/02/2005;0,00;1,67;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,69
27/02/2005;0,00;1,62;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,75
28/02/2005;0,00;1,81;0,00;0,00;Barbecho / Sin cultivo;0,00;-1,60
01/03/2005;0,00;1,52;0,00;0,00;Barbecho / Sin cultivo;0,00;-2,68
02/03/2005;0,00;2,12;0,00;0,00;Barbecho / Sin cultivo;0,00;-3,16
03/03/2005;0,00;1,80;0,00;0,00;Barbecho / Sin cultivo;0,00;-2,97
04/03/2005;0,00;1,84;0,00;0,00;Barbecho / Sin cultivo;0,00;-2,52
05/03/2005;0,00;2,47;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,42
06/03/2005;0,00;2,08;0,00;0,00;Barbecho / Sin cultivo;0,00;0,47
07/03/2005;0,00;1,92;0,00;0,00;Barbecho / Sin cultivo;0,00;0,50
08/03/2005;0,00;1,67;0,00;0,00;Barbecho / Sin cultivo;0,00;0,57
09/03/2005;0,00;2,04;0,00;0,00;Barbecho / Sin cultivo;0,00;-0,03
10/03/2005;0,00;2,30;0,00;0,00;Barbecho / Sin cultivo;0,00;0,08
11/03/2005;0,00;2,23;0,00;0,00;Barbecho / Sin cultivo;0,00;0,60
12/03/2005;0,00;2,44;0,00;0,00;Barbecho / Sin cultivo;0,00;1,98
13/03/2005;0,00;2,52;0,00;0,00;Barbecho / Sin cultivo;0,00;3,50
14/03/2005;0,00;2,03;0,00;0,00;Barbecho / Sin cultivo;0,00;4,88
15/03/2005;0,00;2,79;0,00;0,00;Barbecho / Sin cultivo;0,00;6,53
16/03/2005;0,00;2,90;0,00;0,00;Barbecho / Sin cultivo;0,00;7,93
17/03/2005;0,00;2,82;0,00;0,00;Barbecho / Sin cultivo;0,00;8,82
18/03/2005;0,00;3,45;0,00;0,00;Barbecho / Sin cultivo;0,00;9,86
19/03/2005;0,00;2,92;0,00;0,00;Barbecho / Sin cultivo;0,00;10,56
20/03/2005;0,00;2,54;0,00;0,00;Barbecho / Sin cultivo;0,00;11,00
21/03/2005;0,00;1,28;0,00;0,00;Barbecho / Sin cultivo;0,00;11,17
22/03/2005;0,00;2,86;0,00;0,00;Barbecho / Sin cultivo;0,00;10,41
23/03/2005;0,00;1,64;0,00;0,00;Barbecho / Sin cultivo;0,00;9,46
24/03/2005;0,00;2,23;0,00;0,00;Barbecho / Sin cultivo;0,00;8,75
25/03/2005;0,00;1,40;0,00;0,00;Barbecho / Sin cultivo;0,00;7,79
26/03/2005;0,00;2,29;0,00;0,00;Barbecho / Sin cultivo;0,00;7,59
27/03/2005;0,00;2,22;0,00;0,00;Barbecho / Sin cultivo;0,00;7,60
28/03/2005;0,00;1,67;0,00;0,00;Barbecho / Sin cultivo;0,00;7,47
29/03/2005;0,00;2,38;0,00;0,00;Barbecho / Sin cultivo;0,00;7,97
30/03/2005;0,00;2,74;0,00;0,00;Barbecho / Sin cultivo;0,00;8,56
31/03/2005;0,00;2,92;0,00;0,00;Barbecho / Sin cultivo;0,00;9,34
01/04/2005;0,00;2,60;0,00;0,00;Barbecho / Sin cultivo;0,00;10,10
02/04/2005;0,00;2,15;0,00;0,00;Barbecho / Sin cultivo;0,00;10,11
03/04/2005;0,00;1,36;0,00;0,00;Barbecho / Sin cultivo;0,00;9,82
04/04/2005;0,00;2,24;0,00;0,00;Barbecho / Sin cultivo;0,00;9,84
05/04/2005;0,00;2,53;0,00;0,00;Barbecho / Sin cultivo;0,00;9,65
06/04/2005;0,00;2,70;0,00;0,00;Barbecho / Sin cultivo;0,00;10,23
07/04/2005;0,00;2,09;0,00;0,00;Barbecho / Sin cultivo;0,00;10,56
08/04/2005;0,00;2,82;0,00;0,00;Barbecho / Sin cultivo;0,00;9,13
09/04/2005;0,00;2,55;0,00;0,00;Barbecho / Sin cultivo;0,00;7,25
10/04/2005;0,00;3,23;0,00;0,00;Barbecho / Sin cultivo;0,00;5,38
11/04/2005;0,00;3,57;0,00;0,00;Barbecho / Sin cultivo;0,00;4,53
12/04/2005;0,00;3,24;0,00;0,00;Barbecho / Sin cultivo;0,00;5,37
13/04/2005;0,00;3,34;0,00;0,00;Barbecho / Sin cultivo;0,00;6,80
14/04/2005;0,00;2,14;0,00;0,00;Barbecho / Sin cultivo;0,00;7,54
15/04/2005;0,00;2,39;0,00;0,00;Barbecho / Sin cultivo;0,00;6,74
16/04/2005;0,00;2,87;0,00;0,00;Barbecho / Sin cultivo;0,00;6,13
17/04/2005;0,00;2,18;0,00;0,00;Barbecho / Sin cultivo;0,00;6,34
18/04/2005;0,00;3,00;0,00;0,00;Barbecho / Sin cultivo;0,00;6,30
19/04/2005;0,00;2,42;0,00;0,00;Barbecho / Sin cultivo;0,00;7,02
20/04/2005;0,00;2,08;0,00;0,00;Barbecho / Sin cultivo;0,00;7,65
21/04/2005;0,00;2,44;0,00;0,00;Barbecho / Sin cultivo;0,00;8,06
22/04/2005;0,00;2,66;0,00;0,00;Barbecho / Sin cultivo;0,00;8,99
23/04/2005;1,20;2,18;2,62;0,05;Fase Inicial (VE-V4);1,17;9,18
24/04/2005;1,20;2,61;3,13;0,05;Fase Inicial (VE-V4);2,44;8,97
25/04/2005;1,20;3,93;4,72;0,05;Fase Inicial (VE-V4);5,64;8,56
26/04/2005;1,20;3,70;4,44;0,05;Fase Inicial (VE-V4);9,54;8,44
27/04/2005;1,18;4,30;5,09;0,05;Fase Inicial (VE-V4);14,94;9,48
28/04/2005;1,17;4,96;5,80;0,05;Fase Inicial (VE-V4);21,74;11,23
29/04/2005;1,16;5,06;5,87;0,05;Fase Inicial (VE-V4);29,47;12,93
30/04/2005;1,15;4,90;5,66;0,05;Fase Inicial (VE-V4);36,34;14,44
01/05/2005;1,15;4,16;4,79;0,05;Fase Inicial (VE-V4);41,54;15,23
02/05/2005;1,18;4,56;5,40;0,05;Fase Inicial (VE-V4);45,81;14,67
03/05/2005;1,22;3,25;3,96;0,05;Fase Inicial (VE-V4);49,51;13,25
04/05/2005;1,25;4,00;5,00;0,05;Fase Inicial (VE-V4);53,45;11,99
05/05/2005;1,28;4,42;5,67;0,05;Fase Inicial (VE-V4);57,85;10,80
06/05/2005;1,32;4,64;6,11;0,05;Fase Inicial (VE-V4);63,45;10,74
07/05/2005;1,35;4,92;6,64;0,05;Fase Inicial (VE-V4);70,25;11,61
08/05/2005;1,38;5,25;7,26;0,05;Fase Inicial (VE-V4);77,58;12,82
09/05/2005;1,42;5,00;7,08;0,05;Fase Inicial (VE-V4);83,84;13,98
10/05/2005;1,45;2,60;3,77;0,05;Fase Inicial (VE-V4);86,52;13,66
11/05/2005;1,50;1,78;2,67;0,05;Fase Inicial (VE-V4);88,52;12,58
12/05/2005;1,57;2,84;4,45;0,05;Fase Inicial (VE-V4);91,95;11,32
13/05/2005;1,60;2,58;4,13;0,05;Fase Inicial (VE-V4);93,92;10,00
14/05/2005;1,63;3,78;6,17;0,05;Fase Inicial (VE-V4);96,39;9,89
15/05/2005;1,65;3,79;6,24;0,05;Fase Inicial (VE-V4);98,90;9,91
16/05/2005;1,66;1,82;3,03;0,05;Fase Inicial (VE-V4);99,01;8,97
17/05/2005;1,73;3,97;6,86;0,05;Fase Inicial (VE-V4);101,54;8,90
18/05/2005;1,73;4,54;7,87;0,06;Fase Inicial (VE-V4);106,61;9,23
19/05/2005;1,75;5,26;9,23;0,07;Fase Inicial (VE-V4);113,51;10,59
20/05/2005;1,78;5,44;9,71;0,08;Fase Inicial (VE-V4);120,41;12,68
21/05/2005;1,82;3,50;6,36;0,08;Fase Inicial (VE-V4);124,05;13,59
22/05/2005;1,85;4,65;8,60;0,09;Fase Inicial (VE-V4);126,92;13,21
23/05/2005;1,88;4,61;8,68;0,09;Fase Inicial (VE-V4);131,19;12,20
24/05/2005;1,92;5,25;10,06;0,10;Fase Inicial (VE-V4);138,55;12,12
25/05/2005;1,95;6,37;12,42;0,12;Fase Inicial (VE-V4);147,98;13,76
26/05/2005;1,98;6,43;12,75;0,13;Fase Inicial (VE-V4);158,18;16,47
27/05/2005;2,02;6,75;13,61;0,14;Fase Inicial (VE-V4);167,22;18,56
