Fecha;Fase;Temp_suelo_est_C;GDU_acumulado;Altura_planta_m;ETo_calculada;KC_calculada;ETc_calculada;Precipitacion_Observada_mm;Riego_Recomendado_mm;Agotamiento_Raiz_Dr_mm;Percolacion_Profunda_mm
01/01/2005;Barbecho / Sin cultivo;;0,00;0,00;0,26;0,00;0,00;0,20;0,00;0,00;0,00
02/01/2005;Barbecho / Sin cultivo;;0,00;0,00;0,25;0,00;0,00;0,40;0,00;0,00;0,00
03/01/2005;Barbecho / Sin cultivo;;0,00;0,00;0,29;0,00;0,00;0,20;0,00;0,00;0,00
04/01/2005;Barbecho / Sin cultivo;-0,55;0,00;0,00;0,31;0,00;0,00;0,20;0,00;0,00;0,00
05/01/2005;Barbecho / Sin cultivo;-0,79;0,00;0,00;0,28;0,00;0,00;0,20;0,00;0,00;0,00
06/01/2005;Barbecho / Sin cultivo;-0,94;0,00;0,00;0,33;0,00;0,00;0,20;0,00;0,00;0,00
07/01/2005;Barbecho / Sin cultivo;-0,99;0,00;0,00;0,29;0,00;0,00;0,20;0,00;0,00;0,00
08/01/2005;Barbecho / Sin cultivo;-1,37;0,00;0,00;0,26;0,00;0,00;0,00;0,00;0,00;0,00
09/01/2005;Barbecho / Sin cultivo;-2,01;0,00;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00
10/01/2005;Barbecho / Sin cultivo;-2,95;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00
11/01/2005;Barbecho / Sin cultivo;-3,24;0,00;0,00;0,29;0,00;0,00;0,20;0,00;0,00;0,00
12/01/2005;Barbecho / Sin cultivo;-2,25;0,00;0,00;0,33;0,00;0,00;3,40;0,00;0,00;0,00
13/01/2005;Barbecho / Sin cultivo;-0,21;0,00;0,00;0,37;0,00;0,00;6,60;0,00;0,00;0,00
14/01/2005;Barbecho / Sin cultivo;2,13;0,00;0,00;0,37;0,00;0,00;0,20;0,00;0,00;0,00
15/01/2005;Barbecho / Sin cultivo;3,69;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,00;0,00
16/01/2005;Barbecho / Sin cultivo;3,71;0,00;0,00;0,49;0,00;0,00;0,00;0,00;0,00;0,00
17/01/2005;Barbecho / Sin cultivo;2,85;0,00;0,00;0,47;0,00;0,00;0,20;0,00;0,00;0,00
18/01/2005;Barbecho / Sin cultivo;2,48;0,00;0,00;0,95;0,00;0,00;0,40;0,00;0,00;0,00
19/01/2005;Barbecho / Sin cultivo;2,67;0,00;0,00;1,19;0,00;0,00;0,00;0,00;0,00;0,00
20/01/2005;Barbecho / Sin cultivo;3,51;0,00;0,00;0,98;0,00;0,00;0,00;0,00;0,00;0,00
21/01/2005;Barbecho / Sin cultivo;3,29;0,00;0,00;0,46;0,00;0,00;0,00;0,00;0,00;0,00
22/01/2005;Barbecho / Sin cultivo;2,08;0,00;0,00;0,33;0,00;0,00;0,20;0,00;0,00;0,00
23/01/2005;Barbecho / Sin cultivo;0,88;0,00;0,00;0,51;0,00;0,00;0,20;0,00;0,00;0,00
24/01/2005;Barbecho / Sin cultivo;-0,36;0,00;0,00;0,93;0,00;0,00;0,20;0,00;0,00;0,00
25/01/2005;Barbecho / Sin cultivo;-0,39;0,00;0,00;1,14;0,00;0,00;0,00;0,00;0,00;0,00
26/01/2005;Barbecho / Sin cultivo;-0,32;0,00;0,00;1,44;0,00;0,00;0,20;0,00;0,00;0,00
27/01/2005;Barbecho / Sin cultivo;-0,93;0,00;0,00;1,14;0,00;0,00;0,00;0,00;0,00;0,00
28/01/2005;Barbecho / Sin cultivo;-0,92;0,00;0,00;1,11;0,00;0,00;0,00;0,00;0,00;0,00
29/01/2005;Barbecho / Sin cultivo;-0,47;0,00;0,00;1,39;0,00;0,00;0,00;0,00;0,00;0,00
30/01/2005;Barbecho / Sin cultivo;-0,08;0,00;0,00;1,34;0,00;0,00;0,00;0,00;0,00;0,00
31/01/2005;Barbecho / Sin cultivo;0,62;0,00;0,00;1,25;0,00;0,00;0,00;0,00;0,00;0,00
01/02/2005;Barbecho / Sin cultivo;1,07;0,00;0,00;0,86;0,00;0,00;0,00;0,00;0,00;0,00
02/02/2005;Barbecho / Sin cultivo;1,22;0,00;0,00;1,22;0,00;0,00;0,20;0,00;0,00;0,00
03/02/2005;Barbecho / Sin cultivo;1,03;0,00;0,00;0,95;0,00;0,00;0,00;0,00;0,00;0,00
04/02/2005;Barbecho / Sin cultivo;0,66;0,00;0,00;0,83;0,00;0,00;0,20;0,00;0,00;0,00
05/02/2005;Barbecho / Sin cultivo;0,18;0,00;0,00;0,74;0,00;0,00;0,00;0,00;0,00;0,00
06/02/2005;Barbecho / Sin cultivo;-0,25;0,00;0,00;0,58;0,00;0,00;3,00;0,00;0,00;0,00
07/02/2005;Barbecho / Sin cultivo;0,03;0,00;0,00;0,53;0,00;0,00;4,80;0,00;0,00;0,00
08/02/2005;Barbecho / Sin cultivo;0,97;0,00;0,00;1,01;0,00;0,00;0,00;0,00;0,00;0,00
09/02/2005;Barbecho / Sin cultivo;1,47;0,00;0,00;1,17;0,00;0,00;0,00;0,00;0,00;0,00
10/02/2005;Barbecho / Sin cultivo;1,90;0,00;0,00;1,27;0,00;0,00;0,20;0,00;0,00;0,00
11/02/2005;Barbecho / Sin cultivo;2,86;0,00;0,00;1,46;0,00;0,00;0,00;0,00;0,00;0,00
12/02/2005;Barbecho / Sin cultivo;3,76;0,00;0,00;1,97;0,00;0,00;0,00;0,00;0,00;0,00
13/02/2005;Barbecho / Sin cultivo;4,83;0,00;0,00;2,26;0,00;0,00;0,20;0,00;0,00;0,00
14/02/2005;Barbecho / Sin cultivo;4,91;0,00;0,00;1,87;0,00;0,00;0,00;0,00;0,00;0,00
15/02/2005;Barbecho / Sin cultivo;4,30;0,00;0,00;1,65;0,00;0,00;0,00;0,00;0,00;0,00
16/02/2005;Barbecho / Sin cultivo;2,75;0,00;0,00;1,68;0,00;0,00;0,00;0,00;0,00;0,00
17/02/2005;Barbecho / Sin cultivo;1,18;0,00;0,00;1,59;0,00;0,00;0,00;0,00;0,00;0,00
18/02/2005;Barbecho / Sin cultivo;0,36;0,00;0,00;1,24;0,00;0,00;0,00;0,00;0,00;0,00
19/02/2005;Barbecho / Sin cultivo;0,38;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
20/02/2005;Barbecho / Sin cultivo;0,93;0,00;0,00;1,59;0,00;0,00;0,00;0,00;0,00;0,00
21/02/2005;Barbecho / Sin cultivo;0,63;0,00;0,00;1,45;0,00;0,00;0,00;0,00;0,00;0,00
22/02/2005;Barbecho / Sin cultivo;1,18;0,00;0,00;1,49;0,00;0,00;2,20;0,00;0,00;0,00
23/02/2005;Barbecho / Sin cultivo;0,29;0,00;0,00;0,86;0,00;0,00;0,00;0,00;0,00;0,00
24/02/2005;Barbecho / Sin cultivo;-0,39;0,00;0,00;1,34;0,00;0,00;0,00;0,00;0,00;0,00
25/02/2005;Barbecho / Sin cultivo;-0,31;0,00;0,00;1,52;0,00;0,00;0,00;0,00;0,00;0,00
26/02/2005;Barbecho / Sin cultivo;-0,69;0,00;0,00;1,67;0,00;0,00;0,00;0,00;0,00;0,00
27/02/2005;Barbecho / Sin cultivo;-0,75;0,00;0,00;1,62;0,00;0,00;0,00;0,00;0,00;0,00
28/02/2005;Barbecho / Sin cultivo;-1,60;0,00;0,00;1,81;0,00;0,00;0,00;0,00;0,00;0,00
01/03/2005;Barbecho / Sin cultivo;-2,68;0,00;0,00;1,52;0,00;0,00;0,00;0,00;0,00;0,00
02/03/2005;Barbecho / Sin cultivo;-3,16;0,00;0,00;2,12;0,00;0,00;0,00;0,00;0,00;0,00
03/03/2005;Barbecho / Sin cultivo;-2,97;0,00;0,00;1,80;0,00;0,00;0,00;0,00;0,00;0,00
04/03/2005;Barbecho / Sin cultivo;-2,52;0,00;0,00;1,84;0,00;0,00;0,00;0,00;0,00;0,00
05/03/2005;Barbecho / Sin cultivo;-0,42;0,00;0,00;2,47;0,00;0,00;0,00;0,00;0,00;0,00
06/03/2005;Barbecho / Sin cultivo;0,47;0,00;0,00;2,08;0,00;0,00;0,40;0,00;0,00;0,00
07/03/2005;Barbecho / Sin cultivo;0,50;0,00;0,00;1,92;0,00;0,00;0,00;0,00;0,00;0,00
08/03/2005;Barbecho / Sin cultivo;0,57;0,00;0,00;1,67;0,00;0,00;0,00;0,00;0,00;0,00
09/03/2005;Barbecho / Sin cultivo;-0,03;0,00;0,00;2,04;0,00;0,00;0,00;0,00;0,00;0,00
10/03/2005;Barbecho / Sin cultivo;0,08;0,00;0,00;2,30;0,00;0,00;0,00;0,00;0,00;0,00
11/03/2005;Barbecho / Sin cultivo;0,60;0,00;0,00;2,23;0,00;0,00;0,00;0,00;0,00;0,00
12/03/2005;Barbecho / Sin cultivo;1,98;0,00;0,00;2,44;0,00;0,00;0,00;0,00;0,00;0,00
13/03/2005;Barbecho / Sin cultivo;3,50;0,00;0,00;2,52;0,00;0,00;0,00;0,00;0,00;0,00
14/03/2005;Barbecho / Sin cultivo;4,88;0,00;0,00;2,03;0,00;0,00;0,00;0,00;0,00;0,00
15/03/2005;Barbecho / Sin cultivo;6,53;0,00;0,00;2,79;0,00;0,00;0,00;0,00;0,00;0,00
16/03/2005;Barbecho / Sin cultivo;7,93;0,00;0,00;2,90;0,00;0,00;0,00;0,00;0,00;0,00
17/03/2005;Barbecho / Sin cultivo;8,82;0,00;0,00;2,82;0,00;0,00;0,00;0,00;0,00;0,00
18/03/2005;Barbecho / Sin cultivo;9,86;0,00;0,00;3,45;0,00;0,00;0,00;0,00;0,00;0,00
19/03/2005;Barbecho / Sin cultivo;10,56;0,00;0,00;2,92;0,00;0,00;0,00;0,00;0,00;0,00
20/03/2005;Barbecho / Sin cultivo;11,00;0,00;0,00;2,54;0,00;0,00;1,80;0,00;0,00;0,00
21/03/2005;Barbecho / Sin cultivo;11,17;0,00;0,00;1,28;0,00;0,00;4,00;0,00;0,00;0,00
22/03/2005;Barbecho / Sin cultivo;10,41;0,00;0,00;2,86;0,00;0,00;0,20;0,00;0,00;0,00
