#{"t_start": 1776869739.7235544, "env_id": "None"}
r,l,t
-374.222346,190,2.146126
-292.154503,190,3.920026
-98.431552,157,5.387289
-157.860805,166,7.083278
-187.487809,190,9.010367
-189.358576,179,10.98716
-249.475047,190,12.880509
-209.907436,190,14.818166
-129.430242,187,16.673956
-66.125484,154,18.232602
-191.390923,187,20.086326
-193.894949,190,22.006936
-138.040284,179,23.794759
-94.555046,190,25.649043
-190.821485,190,27.559929
-175.269956,190,29.44594
-88.435942,179,31.184744
-57.801079,181,32.942088
-36.409287,166,34.562428
-89.76763,178,36.29163
-20.650705,178,38.029477
-294.648183,190,39.856987
-7.825697,166,41.474261
-46.84207,179,43.212708
-25.289844,187,45.022329
-41.447128,179,46.758908
-64.344562,190,48.654191
31.50916,190,50.497042
7.850797,190,52.372525
54.844487,157,53.945533
50.607948,181,55.696066
85.192063,154,57.217657
79.799808,190,59.107348
70.038311,182,60.856558
43.507973,179,62.624053
45.88166,154,64.152187
25.802878,161,65.716093
116.572769,166,67.363323
25.917404,161,68.985207
26.462883,168,70.622686
75.036761,176,72.37114
80.548967,179,74.154338
45.912683,190,76.002448
105.624676,190,77.908271
111.470658,185,79.883797
242.87242,185,81.670836
106.966155,179,83.570018
100.08004,174,85.426456
146.395736,181,87.196509
132.974895,179,88.973746
97.372433,190,90.815406
273.761697,166,92.459989
136.244401,174,94.205962
208.54053,168,95.909576
142.639998,190,97.807829
149.810999,166,99.433435
147.538066,190,104.206387
142.662586,176,105.88916
172.696617,174,107.596405
152.596919,185,109.403389
164.720021,190,111.221186
148.36072,190,113.080647
185.740613,185,114.881168
145.624647,190,116.683012
166.695711,157,118.230935
134.535725,190,120.095895
166.423045,190,121.893304
202.542947,190,123.703186
166.723449,179,125.409135
161.686427,190,127.235786
151.502747,190,129.104315
185.878954,176,130.796425
199.815883,181,132.805561
190.411135,166,134.45044
212.106182,154,135.929935
173.996481,168,137.565622
179.198993,161,139.152474
199.109764,166,140.751175
168.510416,182,142.516097
197.291807,187,144.359552
212.405585,166,145.951876
229.503425,190,147.794533
223.748908,190,149.648867
201.796599,178,151.356436
232.035236,190,153.21159
222.285066,157,154.75271
241.04613,154,156.233048
218.618514,179,157.99156
200.006222,157,159.540828
190.91434,190,161.505159
213.749418,185,163.63297
234.569306,181,165.554245
220.422793,190,167.360551
197.549818,190,169.162269
201.932591,190,171.122804
196.829436,174,173.070631
236.396143,179,175.03619
198.655642,176,176.726415
214.454404,181,178.496732
231.704232,190,180.343712
208.318497,182,182.073768
222.115341,161,183.647943
228.507682,190,185.528962
223.303954,190,187.366568
224.372743,178,189.087143
255.930091,178,190.790441
231.685877,181,192.525203
205.482632,190,194.324393
237.795023,181,196.046233
234.44447,154,197.538821
251.863794,190,199.344889
235.82959,154,203.943741
246.770707,181,205.675097
221.62196,161,207.235367
233.022105,187,209.076392
248.852388,154,210.602433
185.349631,190,212.412124
215.611261,161,213.964108
250.301956,178,215.660394
220.711757,174,217.326227
229.571633,174,219.02582
232.665945,185,220.83993
242.467326,190,222.671463
265.886908,154,224.164459
249.624182,187,225.954993
233.302954,174,227.632118
228.687732,174,229.314873
223.608692,190,231.133837
252.023073,185,232.904603
256.716829,181,234.687759
256.151929,190,236.524896
267.954271,179,238.280393
205.596221,190,240.146787
215.929697,190,241.955954
290.38303,154,243.464858
228.384405,190,245.336196
261.845128,185,247.097525
259.012111,166,248.726595
252.857827,154,250.246632
273.391844,161,251.804851
264.247842,190,253.675099
266.907314,190,255.518617
271.901056,190,257.33038
251.239846,187,259.155446
263.8298,161,260.742878
271.734925,185,262.504081
273.819441,190,264.362161
280.839382,179,266.106893
275.427271,157,267.613264
260.095011,182,269.385547
256.499043,190,271.213739
273.944279,190,273.001024
255.417291,187,275.155718
263.444033,187,277.108801
258.197746,179,279.142785
247.244993,182,281.097773
268.930301,178,282.94623
244.280115,157,284.602918
277.045323,190,286.38876
274.791758,190,288.179289
281.237782,154,289.649228
260.891686,190,291.434807
272.798353,181,293.146175
240.690729,190,294.93133
262.773563,154,296.39524
267.92115,178,298.096366
256.067935,176,299.764277
249.165964,185,304.447482
285.330696,187,306.268739
247.364146,166,307.841166
238.750366,157,309.357223
232.501153,190,311.210274
269.911832,168,312.803698
262.174178,187,314.623224
260.43397,161,316.191446
246.663248,157,317.684714
279.816758,179,319.408669
254.790047,174,321.095592
270.507623,190,322.876315
276.16601,174,324.558842
305.82141,181,326.317748
280.179506,174,327.960508
279.092288,174,329.654637
286.553053,190,331.495842
277.037092,168,333.087158
289.858534,181,334.803283
253.103447,157,336.295456
281.392634,190,338.079317
302.223134,168,339.699499
286.47691,190,341.542226
266.716383,190,343.329683
298.145098,181,345.038821
262.385603,157,346.544871
266.266555,161,348.070755
296.716878,187,349.872983
278.174888,190,351.702205
283.928699,190,353.49604
296.75088,190,355.285597
299.835507,154,356.749928
303.058854,181,358.461046
303.028473,181,360.170748
