rendimiento_kg_ha;factor_rendimiento;riego_mm;precip_mm;agua_total_mm;beneficio_neto_eur;ingresos_eur;coste_agua_eur;dias_estres;ks_medio;wue_kg_mm;n_dias;año;estrategia
8957,5;0,5972;0,0;151,2;151,2;2028,04;2060,22;0,0;318;0,3863;59,252;365;2005;Sin riego
11938,1;0,7959;1040,0;151,2;1191,2;2297,57;2745,75;416,0;161;0,8318;10,022;365;2005;Semanal 20mm
14707,3;0,9805;943,5;151,2;1094,7;2973,1;3382,68;377,4;59;0,9666;13,435;365;2005;FAO-56 experta
13275,2;0,885;678,4;151,2;829,5;2749,76;3053,29;271,34;219;0,5964;16,003;365;2005;AquaCrop SMT=100%
14976,8;0,9985;1310,8;151,2;1461,9;2888,17;3444,66;524,31;2;0,9945;10,244;365;2005;Agente SAC
9489,1;0,6326;0,0;218,3;218,3;2150,3;2182,48;0,0;264;0,503;43,473;357;2006;Sin riego
12272,8;0,8182;1020,0;218,3;1238,3;2382,55;2822,73;408,0;133;0,8473;9,911;357;2006;Semanal 20mm
14726,5;0,9818;820,0;218,3;1038,3;3026,91;3387,09;328,0;49;0,9672;14,183;357;2006;FAO-56 experta
14084,8;0,939;690,3;218,3;908,6;2931,2;3239,49;276,11;157;0,7184;15,502;357;2006;AquaCrop SMT=100%
14968,6;0,9979;1458,3;218,3;1676,6;2827,29;3442,79;583,31;2;0,9944;8,928;357;2006;Agente SAC
9818,0;0,6545;0,0;219,0;219,0;2225,97;2258,15;0,0;317;0,3978;44,821;375;2007;Sin riego
13546,7;0,9031;1060,0;219,0;1279,0;2659,57;3115,75;424,0;110;0,9055;10,591;375;2007;Semanal 20mm
14739,1;0,9826;787,9;219,0;1006,9;3042,67;3390,0;315,16;53;0,9697;14,638;375;2007;FAO-56 experta
12058,0;0,8039;497,1;219,0;716,1;2542,35;2773,35;198,82;283;0,5322;16,838;375;2007;AquaCrop SMT=100%
14983,9;0,9989;1117,7;219,0;1336,8;2967,02;3446,3;447,1;2;0,9947;11,209;375;2007;Agente SAC
9208,8;0,6139;0,0;127,7;127,7;2085,84;2118,02;0,0;340;0,3606;72,132;363;2008;Sin riego
12777,8;0,8519;1020,0;127,7;1147,7;2498,7;2938,88;408,0;133;0,8517;11,134;363;2008;Semanal 20mm
14736,0;0,9824;931,5;127,7;1059,2;2984,49;3389,28;372,61;52;0,9679;13,913;363;2008;FAO-56 experta
12487,0;0,8325;559,5;127,7;687,2;2616,03;2872,02;223,8;263;0,5377;18,172;363;2008;AquaCrop SMT=100%
14988,4;0,9992;1096,4;127,7;1224,0;2976,6;3447,32;438,54;2;0,9945;12,245;363;2008;Agente SAC
9502,8;0,6335;0,0;238,2;238,2;2153,46;2185,64;0,0;278;0,4869;39,901;361;2009;Sin riego
12605,4;0,8404;1020,0;238,2;1258,2;2459,07;2899,25;408,0;129;0,8645;10,019;361;2009;Semanal 20mm
14759,2;0,9839;854,7;238,2;1092,9;3020,54;3394,61;341,89;47;0,9729;13,505;361;2009;FAO-56 experta
13826,8;0,9218;697,5;238,2;935,6;2868,99;3180,17;279,0;169;0,6965;14,778;361;2009;AquaCrop SMT=100%
14962,9;0,9975;1410,6;238,2;1648,8;2845,03;3441,46;564,25;2;0,9945;9,075;361;2009;Agente SAC
9748,3;0,6499;0,0;206,7;206,7;2209,94;2242,12;0,0;259;0,5337;47,168;362;2010;Sin riego
12767,1;0,8511;1020,0;206,7;1226,7;2496,26;2936,44;408,0;122;0,8841;10,408;362;2010;Semanal 20mm
14767,2;0,9845;762,2;206,7;968,9;3059,39;3396,45;304,88;68;0,9697;15,242;362;2010;FAO-56 experta
13596,1;0,9064;579,6;206,7;786,3;2863,06;3127,1;231,85;169;0,7201;17,291;362;2010;AquaCrop SMT=100%
14972,7;0,9982;1123,9;206,7;1330,6;2961,97;3443,72;449,57;2;0,9945;11,253;362;2010;Agente SAC
9482,4;0,6322;0,0;185,0;185,0;2148,78;2180,96;0,0;310;0,3843;51,256;389;2011;Sin riego
12505,2;0,8337;1100,0;185,0;1285,0;2404,01;2876,19;440,0;170;0,8424;9,732;389;2011;Semanal 20mm
14658,3;0,9772;966,7;185,0;1151,7;2952,53;3371,41;386,7;55;0,9604;12,727;389;2011;FAO-56 experta
12495,5;0,833;676,5;185,0;861,5;2571,19;2873,95;270,59;261;0,5431;14,505;389;2011;AquaCrop SMT=100%
14955,3;0,997;1955,6;185,0;2140,6;2625,28;3439,71;782,26;3;0,9948;6,986;389;2011;Agente SAC
9379,0;0,6253;0,0;114,0;114,0;2124,98;2157,16;0,0;307;0,3749;82,239;342;2012;Sin riego
12624,9;0,8417;960,0;114,0;1074,0;2487,55;2903,73;384,0;137;0,8777;11,755;342;2012;Semanal 20mm
14788,2;0,9859;850,5;114,0;964,6;3028,89;3401,28;340,21;44;0,9708;15,331;342;2012;FAO-56 experta
12501,8;0,8335;499,5;114,0;613,6;2643,44;2875,42;199,8;257;0,5522;20,376;342;2012;AquaCrop SMT=100%
14985,8;0,9991;987,1;114,0;1101,1;3019,74;3446,74;394,83;2;0,9942;13,61;342;2012;Agente SAC
9671,3;0,6448;0,0;193,1;193,1;2192,22;2224,4;0,0;314;0,4123;50,077;365;2013;Sin riego
12907,3;0,8605;1040,0;193,1;1233,1;2520,51;2968,69;416,0;137;0,873;10,467;365;2013;Semanal 20mm
14722,7;0,9815;904,3;193,1;1097,4;2992,32;3386,21;361,71;48;0,9712;13,416;365;2013;FAO-56 experta
12562,2;0,8375;570,3;193,1;763,4;2629,01;2889,3;228,11;234;0,5851;16,455;365;2013;AquaCrop SMT=100%
14974,5;0,9983;1160,8;193,1;1354,0;2947,62;3444,13;464,33;2;0,9945;11,06;365;2013;Agente SAC
10159,7;0,6773;0,0;213,4;213,4;2304,55;2336,73;0,0;306;0,5006;47,604;365;2014;Sin riego
13381,3;0,8921;1040,0;213,4;1253,4;2629,52;3077,7;416,0;117;0,8896;10,676;365;2014;Semanal 20mm
14710,4;0,9807;845,4;213,4;1058,8;3013,05;3383,4;338,16;59;0,9686;13,893;365;2014;FAO-56 experta
12914,0;0,8609;551,2;213,4;764,6;2717,56;2970,21;220,47;247;0,667;16,89;365;2014;AquaCrop SMT=100%
14978,2;0,9985;1427,0;213,4;1640,4;2842,02;3444,99;570,79;2;0,9945;9,131;365;2014;Agente SAC
9356,7;0,6238;0,0;252,8;252,8;2119,86;2152,04;0,0;292;0,489;37,013;372;2015;Sin riego
12453,4;0,8302;1060,0;252,8;1312,8;2408,09;2864,27;424,0;121;0,8907;9,486;372;2015;Semanal 20mm
14772,6;0,9848;815,4;252,8;1068,2;3039,35;3397,71;326,17;46;0,9687;13,829;372;2015;FAO-56 experta
13848,1;0,9232;645,8;252,8;898,6;2894,55;3185,06;258,33;187;0,6869;15,41;372;2015;AquaCrop SMT=100%
14982,2;0,9988;992,1;252,8;1244,9;3016,87;3445,91;396,85;2;0,9946;12,035;372;2015;Agente SAC
9606,7;0,6404;0,0;184,7;184,7;2177,36;2209,54;0,0;291;0,4061;52,021;359;2016;Sin riego
12382,5;0,8255;1020,0;184,7;1204,7;2407,8;2847,98;408,0;135;0,8489;10,279;359;2016;Semanal 20mm
14698,9;0,9799;845,5;184,7;1030,2;3010,36;3380,76;338,21;48;0,965;14,268;359;2016;FAO-56 experta
13585,9;0,9057;608,3;184,7;793,0;2849,26;3124,77;243,32;213;0,6022;17,133;359;2016;AquaCrop SMT=100%
14970,9;0,9981;1315,0;184,7;1499,7;2885,12;3443,3;526,0;2;0,9944;9,983;359;2016;Agente SAC
9205,3;0,6137;0,0;169,6;169,6;2085,04;2117,22;0,0;290;0,4589;54,278;367;2017;Sin riego
11963,1;0,7975;1040,0;169,6;1209,6;2303,33;2751,51;416,0;136;0,846;9,89;367;2017;Semanal 20mm
14738,3;0,9826;906,8;169,6;1076,4;2994,92;3389,81;362,71;53;0,9678;13,692;367;2017;FAO-56 experta
13677,0;0,9118;653,0;169,6;822,6;2852,34;3145,72;261,2;196;0,6574;16,627;367;2017;AquaCrop SMT=100%
14957,1;0,9971;1707,5;169,6;1877,1;2724,94;3440,13;683,01;2;0,9946;7,968;367;2017;Agente SAC
10292,2;0,6861;0,0;212,5;212,5;2335,02;2367,2;0,0;287;0,3908;48,423;363;2018;Sin riego
13714,7;0,9143;1020,0;212,5;1232,5;2714,2;3154,38;408,0;115;0,8718;11,127;363;2018;Semanal 20mm
14726,8;0,9818;721,8;212,5;934,4;3066,25;3387,17;288,74;53;0,9662;15,761;363;2018;FAO-56 experta
13777,3;0,9185;502,4;212,5;715,0;2935,63;3168,77;200,96;212;0,5656;19,27;363;2018;AquaCrop SMT=100%
14977,8;0,9985;1118,9;212,5;1331,4;2965,16;3444,89;447,55;3;0,9944;11,249;363;2018;Agente SAC
9977,7;0,6652;0,0;217,9;217,9;2262,69;2294,87;0,0;295;0,4992;45,8;366;2019;Sin riego
13645,8;0,9097;1040,0;217,9;1257,9;2690,35;3138,53;416,0;100;0,902;10,848;366;2019;Semanal 20mm
14766,1;0,9844;776,6;217,9;994,4;3053,39;3396,2;310,64;51;0,9675;14,849;366;2019;FAO-56 experta
13673,0;0,9115;555,8;217,9;773,7;2890,27;3144,79;222,34;205;0,6782;17,672;366;2019;AquaCrop SMT=100%
14937,2;0,9958;3446,5;217,9;3664,4;2024,77;3435,56;1378,61;3;0,9943;4,076;366;2019;Agente SAC
10145,9;0,6764;0,0;219,4;219,4;2301,38;2333,56;0,0;278;0,5039;46,237;370;2020;Sin riego
13331,4;0,8888;1040,0;219,4;1259,4;2618,05;3066,23;416,0;104;0,8997;10,585;370;2020;Semanal 20mm
14740,9;0,9827;747,4;219,4;966,8;3059,26;3390,4;298,97;41;0,9678;15,246;370;2020;FAO-56 experta
13970,9;0,9314;547,3;219,4;766,8;2962,19;3213,3;218,93;180;0,6918;18,221;370;2020;AquaCrop SMT=100%
14960,1;0,9973;1387,1;219,4;1606,5;2853,81;3440,81;554,83;2;0,9946;9,312;370;2020;Agente SAC
10292,8;0,6862;0,0;191,6;191,6;2335,15;2367,33;0,0;283;0,4791;53,73;360;2021;Sin riego
13639,4;0,9093;1020,0;191,6;1211,6;2696,89;3137,07;408,0;83;0,9189;11,258;360;2021;Semanal 20mm
14810,1;0,9873;715,4;191,6;907,0;3087,99;3406,33;286,16;47;0,9723;16,329;360;2021;FAO-56 experta
13536,7;0,9024;530,8;191,6;722,3;2868,95;3113,43;212,3;218;0,6469;18,74;360;2021;AquaCrop SMT=100%
14984,6;0,999;1021,9;191,6;1213,4;3005,53;3446,46;408,75;2;0,9944;12,349;360;2021;Agente SAC
9328,1;0,6219;0,0;193,0;193,0;2113,27;2145,45;0,0;264;0,4623;48,32;365;2022;Sin riego
11660,4;0,7774;1040,0;193,0;1233,0;2233,72;2681,9;416,0;140;0,8139;9,457;365;2022;Semanal 20mm
14615,4;0,9744;917,9;193,0;1110,9;2962,21;3361,54;367,14;60;0,9565;13,156;365;2022;FAO-56 experta
13737,9;0,9159;644,2;193,0;837,2;2869,87;3159,72;257,68;194;0,6444;16,409;365;2022;AquaCrop SMT=100%
14952,2;0,9968;1955,9;193,0;2148,9;2624,46;3439,0;782,36;2;0,9945;6,958;365;2022;Agente SAC
10006,6;0,6671;0,0;273,0;273,0;2269,35;2301,53;0,0;248;0,5781;36,655;366;2023;Sin riego
13123,0;0,8749;1040,0;273,0;1313,0;2570,11;3018,29;416,0;94;0,8845;9,995;366;2023;Semanal 20mm
14772,6;0,9848;706,0;273,0;979,0;3083,13;3397,7;282,4;44;0,9741;15,09;366;2023;FAO-56 experta
14611,4;0,9741;619,0;273,0;892,0;3080,84;3360,63;247,61;132;0,7824;16,38;366;2023;AquaCrop SMT=100%
14951,6;0,9968;2723,7;273,0;2996,6;2317,22;3438,86;1089,46;2;0,9945;4,989;366;2023;Agente SAC
10886,4;0,7258;0,0;259,8;259,8;2471,68;2503,86;0,0;268;0,5748;41,91;365;2024;Sin riego
14069,4;0,938;1040,0;259,8;1299,8;2787,77;3235,95;416,0;72;0,9186;10,825;365;2024;Semanal 20mm
14737,3;0,9825;660,7;259,8;920,4;3093,14;3389,58;264,26;43;0,9662;16,012;365;2024;FAO-56 experta
14588,8;0,9726;571,4;259,8;831,2;3094,69;3355,43;228,56;150;0,78;17,552;365;2024;AquaCrop SMT=100%
14978,0;0,9985;1433,5;259,8;1693,3;2839,34;3444,94;573,42;2;0,9945;8,845;365;2024;Agente SAC
10076,8;0,6718;0,0;218,6;218,6;2285,48;2317,66;0,0;239;0,5358;46,088;351;2025;Sin riego
12516,6;0,8344;1000,0;218,6;1218,6;2446,63;2878,81;400,0;149;0,84;10,271;351;2025;Semanal 20mm
14671,6;0,9781;814,8;218,6;1033,5;3016,36;3374,46;325,93;58;0,9603;14,197;351;2025;FAO-56 experta
14291,1;0,9527;627,2;218,6;845,8;3003,9;3286,95;250,88;150;0,7363;16,896;351;2025;AquaCrop SMT=100%
14938,8;0,9959;2774,3;218,6;2993,0;2294,02;3435,93;1109,73;2;0,9943;4,991;351;2025;Agente SAC
