#{"t_start": 1776947530.581552, "env_id": "None"}
r,l,t
166.461051,190,1.651336
220.837726,174,3.286549
200.248008,161,4.799782
200.188858,154,6.22681
196.256444,190,8.010119
148.545151,190,9.859956
189.711631,176,11.564985
181.25485,182,13.288803
162.101385,190,15.064975
197.509707,154,16.518846
193.666551,179,18.221202
187.773361,176,19.886392
178.160955,190,21.678987
178.925628,182,23.398237
190.666108,181,25.088642
196.843516,190,26.871534
178.471258,190,28.681584
207.79107,157,30.163305
199.597761,178,31.826745
178.420092,187,33.598427
204.554425,154,35.042574
180.717859,178,36.70677
192.910092,185,38.453386
191.989762,187,40.20193
229.018569,154,41.639731
155.717324,185,43.397285
126.25409,179,45.071949
187.611158,181,46.754393
202.145269,178,48.433535
137.182019,182,50.139961
170.45172,190,51.90833
183.803055,187,53.67953
215.265058,174,55.308929
132.530559,190,57.082862
184.832079,187,58.85331
223.169602,157,60.321538
71.627224,190,62.092905
196.37872,190,63.88996
204.056815,168,65.460597
191.738384,190,67.234016
233.543265,174,68.882243
190.802951,190,70.660202
208.815199,190,72.436923
192.375897,185,74.193357
201.464742,176,75.838924
183.691186,190,77.611437
194.752107,190,79.40479
246.531535,161,80.906119
213.253753,190,82.679556
202.516703,179,84.376883
197.860554,179,86.046567
189.289882,190,87.834133
217.195919,185,89.589912
215.74233,174,91.213143
257.269942,174,92.841957
226.2236,179,97.697739
213.378777,182,99.415973
265.14107,161,100.919383
202.14593,182,102.621026
231.231188,181,104.331307
192.519313,161,105.834996
204.432832,190,107.611138
180.099857,161,109.123377
219.438671,166,110.673008
213.789779,190,112.440079
54.330346,182,114.160017
218.840035,185,115.883482
222.3268,154,117.320906
220.657488,176,118.972056
223.326627,154,120.405561
198.238734,185,122.105798
202.577376,190,123.8578
222.799259,181,125.531044
236.498093,166,127.060529
226.226917,179,128.709289
204.824297,187,130.448943
221.145705,179,132.093077
158.605019,190,133.846207
233.817234,190,135.607925
217.732993,190,137.346267
218.256256,190,139.112205
212.648822,187,140.829367
213.079763,182,142.503125
229.155212,190,144.26773
233.705938,168,145.817442
228.704278,179,147.455684
240.204239,166,148.984327
235.163648,166,150.522874
237.89126,190,152.265733
224.079566,182,153.944813
231.145581,190,155.695536
239.386136,161,157.175703
241.561744,178,158.813781
253.442132,157,160.27942
237.585609,185,161.977349
243.69369,161,163.451614
244.471233,154,164.905632
226.763255,190,166.648407
263.1733,157,168.085617
234.184416,190,169.855313
221.477464,190,171.600174
245.75983,176,173.212903
249.632855,178,174.881673
249.566688,178,176.519817
237.310529,190,178.274546
244.341653,179,179.963604
233.81464,190,181.75713
234.338221,185,183.50871
242.181406,185,185.306144
259.77132,161,186.856943
245.294875,168,188.478724
223.714506,190,193.598943
264.593525,161,195.140546
236.004852,190,196.947231
239.761367,190,198.780984
236.990642,176,200.509025
267.180495,157,202.117529
245.24373,181,204.420488
242.915928,187,206.34647
257.716579,179,208.183452
232.809954,190,210.165346
218.127364,190,212.126484
241.833372,179,213.995885
248.961595,161,215.668511
269.678489,157,217.264211
241.629072,179,219.098658
237.576669,181,220.976688
243.485094,181,222.842489
245.425459,168,224.551023
222.302863,182,226.42671
215.860259,190,228.372258
232.870145,190,230.341337
232.741691,190,232.294405
232.026172,182,234.187488
255.009089,161,235.881395
270.87449,157,237.337976
250.226498,187,239.068182
245.964874,179,240.760314
232.790819,179,242.419481
237.397273,168,243.979986
266.272839,161,245.518449
216.403222,190,247.280982
221.169824,190,249.03896
236.090264,190,250.834347
233.007486,190,252.595654
245.984509,161,254.08667
217.261513,190,255.87943
227.064037,190,257.640953
236.306168,190,259.409131
225.361746,190,261.217301
229.158361,190,262.980535
221.542705,190,264.75395
205.524555,190,266.546816
237.871728,187,268.269548
230.126117,190,270.066955
242.21098,168,271.622491
238.217835,179,273.290317
250.87683,161,274.857132
236.657881,187,276.614311
237.414268,181,278.297785
234.507898,187,280.072693
228.55286,190,281.832375
236.604832,181,283.506272
236.055886,168,285.09885
222.621033,190,286.859144
220.555233,190,288.613742
230.706299,187,290.394073
244.596278,179,295.206172
234.452584,178,296.862844
216.040567,190,298.624344
212.549079,190,300.416718
247.368793,161,301.911443
234.019362,168,303.469021
257.194999,154,304.902124
225.43912,185,306.632903
206.3459,190,308.391369
241.52777,154,309.824649
235.787801,181,311.524807
205.401903,190,313.282344
233.222326,178,314.955729
238.325759,179,316.639492
220.088069,190,318.398213
229.702643,179,320.06644
235.530834,179,321.740634
213.081617,190,323.515022
240.48609,166,325.057416
249.73105,174,326.699059
238.373059,176,328.323978
239.369521,166,329.863375
248.089358,176,331.518659
243.408574,185,333.234148
241.920458,168,334.787707
251.048293,154,336.248762
226.508033,179,337.900551
263.113765,157,339.349982
245.188231,179,341.027838
236.423225,187,342.751789
229.467475,187,344.4813
241.853855,179,346.157421
243.856576,181,347.827305
233.352753,190,349.584527
261.522941,154,351.03227
244.32908,185,352.738505
225.92895,182,354.421838
230.367273,190,356.217627
228.670269,190,357.973214
227.65582,190,359.729792
271.092049,157,361.199432
246.034205,185,362.908811
236.990712,187,364.636069
248.59626,166,366.190868
245.901264,178,367.836688
229.575235,190,369.594276
233.72919,190,371.374095
228.976261,190,373.131945
245.614735,166,374.667099
239.175468,185,376.398954
231.216686,190,378.160947
219.816128,190,379.922693
236.701795,182,381.627337
232.563856,190,383.382989
228.185662,190,385.137289
234.941596,190,386.91633
250.848743,166,391.720392
261.703419,161,393.215146
251.965418,176,394.849131
236.43807,190,396.629267
270.755353,157,398.082257
252.894312,178,399.731034
232.856543,190,401.508548
251.843079,181,403.182757
249.707927,178,404.828645
243.368875,190,406.605067
239.519336,190,408.363594
267.401338,174,409.972867
236.314208,190,411.751049
247.09862,161,413.23894
245.404471,181,414.915355
235.507692,190,416.694792
263.556707,157,418.15021
243.952289,190,419.909907
256.633028,178,421.576242
232.215651,190,423.334101
242.716079,182,425.019502
248.091939,178,426.688042
244.356,190,428.45579
242.99198,187,430.186591
245.087667,181,431.881827
241.124943,190,433.642563
233.671156,190,435.408032
244.522588,187,437.179204
247.422579,154,438.609534
256.4595,178,440.255333
233.943988,190,442.033377
244.180661,190,443.7885
262.04164,174,445.397663
250.163228,190,447.178558
254.188081,154,448.600633
261.16382,161,450.088684
249.137278,190,451.87518
246.940455,190,453.665511
250.030202,190,455.45207
244.511479,190,457.231934
250.822625,168,458.793574
255.368719,179,460.456393
256.788962,179,462.141984
260.975877,176,463.77428
251.850226,187,465.509166
256.118303,179,467.194867
254.868805,166,468.732766
273.905092,157,470.188118
250.615027,182,471.911522
270.642037,157,473.369866
250.913127,190,475.12516
246.555502,190,476.899208
252.459869,190,478.660993
239.900057,190,480.427303
260.334284,178,482.107443
247.655486,190,487.096386
253.491038,187,488.844318
276.306444,157,490.30626
251.665231,190,492.09385
253.209391,168,493.665752
247.017011,182,495.359335
247.728878,190,497.156219
260.619732,179,498.820085
256.853286,190,500.584809
277.929106,157,502.059517
275.161685,174,503.669727
262.939358,166,505.204804
256.012426,166,506.763788
250.057756,190,508.530947
258.432957,179,510.200316
258.442453,176,511.883267
270.095093,161,513.380109
255.292485,190,515.148133
250.268052,190,516.942052
260.520979,179,518.596201
255.532748,190,520.363239
260.228147,185,522.098872
265.225306,178,523.749814
248.194277,190,525.508195
240.04989,190,527.289575
233.85487,190,529.05392
259.580757,187,530.789123
260.757766,168,532.364349
258.237292,154,533.790112
256.233521,154,535.218519
258.199166,182,536.926797
250.40408,190,538.686311
252.530961,190,540.451651
253.681983,179,542.132894
260.601154,190,543.8975
262.527627,166,545.438911
257.986965,154,546.88838
241.428095,190,548.66278
261.019646,179,550.331261
258.08623,179,552.012755
263.614884,179,553.676053
261.557654,176,555.314761
262.797821,176,556.996785
246.557048,190,558.759283
249.548829,190,560.520151
257.586835,154,561.970802
264.760578,178,563.623592
259.018552,182,565.315261
255.484329,181,567.019489
256.059538,182,568.710412
263.50703,161,570.209964
259.107228,190,571.996222
267.844139,181,573.684761
260.792323,187,575.42553
240.545445,190,577.215126
258.2323,190,578.979627
253.095433,187,583.722744
249.177436,182,585.414854
262.920398,168,586.997746
268.100464,161,588.494278
266.474905,161,589.992155
254.48682,178,591.652193
262.539666,161,593.162638
260.242573,190,594.925807
251.368305,182,596.622505
261.954216,187,598.428277
259.139005,190,600.33304
255.388213,190,602.168588
269.320459,161,603.711891
264.974949,161,605.244303
273.978237,157,606.720929
272.778121,157,608.19238
261.94816,187,609.981364
261.633724,178,611.63239
264.150362,181,613.311841
262.166136,181,614.991466
264.086629,179,616.649481
263.43871,168,618.20811
259.843668,176,619.845239
266.577331,190,621.607255
247.321439,190,623.374923
257.169269,190,625.138893
272.23574,174,626.759734
261.176684,190,628.527514
272.149665,157,629.990573
261.085399,168,631.557745
268.868387,178,633.212317
244.341149,190,634.980418
257.50691,190,636.755568
264.490494,179,638.422098
262.533662,190,640.202975
264.559368,179,641.861319
261.598697,190,643.625763
251.563769,182,645.316181
264.315473,185,647.034206
252.781957,190,648.798718
254.559312,190,650.562657
253.866914,190,652.325436
274.960864,174,653.941894
265.508382,190,655.705473
262.369918,176,657.337832
258.770339,154,658.768766
251.523181,190,660.5425
258.676018,190,662.312126
260.699916,166,663.856205
268.451565,161,665.35588
237.331456,190,667.131515
260.000861,190,668.90467
263.224384,190,670.679865
262.849253,185,672.413101
266.721198,154,673.853855
262.734151,190,675.632414
250.98943,190,680.582385
264.677075,179,682.259385
262.023498,166,683.807212
241.4815,190,685.583255
261.924234,190,687.360829
257.105408,154,688.80568
259.353103,166,690.357687
256.320617,190,692.132336
252.555139,190,693.905503
258.809089,176,695.542826
264.435471,181,697.227712
260.716405,166,698.788038
272.387019,157,700.257593
245.527276,190,702.037731
266.364524,181,703.731351
263.396708,179,705.404217
258.773784,190,707.182292
255.322761,166,708.734046
281.688036,174,710.362704
268.181524,181,712.055821
271.889473,181,713.749093
229.910734,190,715.528491
265.700445,154,716.970901
269.924528,181,718.664397
257.57095,190,720.444715
266.8083,181,722.13412
260.70023,166,723.683016
257.583729,190,725.452574
264.252295,187,727.191946
274.577861,157,728.651747
265.264767,176,730.289354
258.360404,154,731.724784
250.272251,190,733.498064
266.258924,176,735.137673
265.185712,154,736.571878
269.68889,185,738.292954
260.357373,190,740.061936
262.207489,190,741.829431
266.982754,190,743.597693
256.618313,190,745.367394
241.294093,190,747.135044
261.490287,187,748.880025
264.231998,179,750.552011
264.913451,154,751.984823
270.702635,181,753.670855
266.123515,190,755.440609
274.962593,178,757.09984
262.686236,166,758.647184
258.064199,190,760.417209
264.209839,168,761.981338
255.040493,190,763.751218
279.472419,157,765.21489
267.086092,181,766.90095
267.518619,179,768.567497
258.953229,166,770.115979
271.443069,190,771.881784
256.421184,190,776.875099
264.692512,161,778.391264
262.122626,166,779.956877
258.801086,166,781.504127
267.274801,190,783.279787
243.066795,190,785.053718
260.279154,190,786.82988
269.908504,190,788.608201
260.356968,166,790.161223
270.022594,181,791.852772
264.925987,154,793.298703
264.321605,190,795.075515
271.257202,178,796.739061
269.879841,190,798.517264
256.211866,190,800.293807
277.046517,190,802.07053
256.336963,182,803.775516
276.208423,157,805.246295
272.448539,174,806.872464
270.558977,190,808.644596
265.372366,182,810.341613
268.207154,178,812.00496
276.595346,174,813.624359
264.981813,178,815.279915
256.475061,190,817.043743
261.566991,190,818.816284
268.515716,187,820.566633
267.164379,179,822.237786
269.306046,154,823.670889
265.836439,181,825.353034
258.55762,190,827.120788
269.358208,176,828.756016
272.265428,181,830.439054
271.67113,161,831.933303
266.099058,190,833.703616
285.894474,174,835.329207
264.535228,190,837.107319
262.410322,166,838.661531
273.800747,179,840.339471
264.504328,190,842.117433
267.986792,154,843.556299
268.463467,181,845.249091
266.185657,181,846.935523
270.36694,190,848.701097
271.979059,190,850.465343
254.596589,182,852.158049
278.898886,161,853.665069
247.642036,190,855.437325
260.244765,190,857.204463
265.207824,190,858.972393
262.945367,190,860.737141
263.94518,176,862.375166
242.503501,190,864.141042
267.634813,181,865.824713
267.70752,166,867.375755
266.970413,179,869.051921
261.142819,182,873.876065
259.067826,190,875.647408
269.874717,166,877.191637
269.653272,157,878.654886
273.541727,185,880.385252
272.693386,176,882.026138
268.848167,187,883.769449
268.284409,179,885.437976
277.910378,157,886.900709
271.19174,190,888.663873
270.727227,187,890.408411
278.981521,157,891.873284
269.578372,190,893.647076
277.65095,161,895.151565
279.285117,174,896.777287
277.853002,190,898.552883
265.743694,168,900.12334
255.453694,190,901.898486
278.611771,157,903.367512
275.363438,174,904.988499
271.888011,190,906.753577
276.259408,174,908.364924
274.133736,161,909.858458
266.213088,166,911.39606
266.758245,179,913.060187
271.715669,161,914.555249
276.172778,187,916.294953
255.7274,190,918.067364
265.25856,190,919.840338
262.173472,190,921.612973
274.92332,190,923.384332
256.509352,190,925.158612
264.846548,176,926.803254
267.418096,176,928.446868
262.855031,154,929.885424
267.971478,176,931.527896
269.854638,190,933.304363
262.260781,190,935.072465
263.362293,166,936.616674
256.702182,182,938.307751
275.951226,185,940.038334
273.174779,181,941.724198
262.665249,190,943.490596
272.274516,161,944.989356
273.925632,176,946.62555
269.464474,154,948.056964
270.370238,178,949.719995
266.486795,179,951.394002
270.096569,154,952.834204
275.032159,190,954.609909
268.736317,154,956.048402
269.504525,187,957.796755
267.39454,190,959.573346
258.930707,179,961.243993
269.209128,187,962.986439
267.699694,179,964.65392
270.163974,176,969.46418
268.837095,190,971.25919
271.534551,168,972.830857
273.996263,185,974.56005
273.564055,190,976.341476
273.41012,190,978.117082
269.788011,168,979.683959
267.348419,190,981.458417
271.602371,185,983.185317
266.303138,190,984.956807
270.394655,179,986.634279
264.403287,190,988.406628
260.224926,190,990.186669
264.080518,154,991.62886
268.241084,190,993.406782
268.831386,168,994.978549
269.918057,190,996.750081
269.76593,181,998.443425
278.731828,161,999.94999
257.68722,182,1001.65836
255.959958,182,1003.365197
260.705874,190,1005.137894
260.919115,182,1006.835497
272.912548,190,1008.609198
265.374521,179,1010.280153
258.81928,190,1012.050178
246.693557,190,1013.821538
269.063233,179,1015.488711
279.201494,174,1017.108914
255.44854,190,1018.881309
262.303458,190,1020.66524
261.615379,190,1022.438885
268.167054,190,1024.210734
245.992767,190,1025.980338
280.046015,178,1027.641129
268.982344,161,1029.144173
275.188621,185,1030.872257
269.445908,187,1032.62222
270.62719,157,1034.089869
271.122086,187,1035.837775
269.607621,168,1037.413569
272.38699,157,1038.882208
268.676084,179,1040.561885
271.053542,157,1042.031385
271.861344,190,1043.813586
276.993247,157,1045.29301
270.930505,187,1047.046663
247.722211,190,1048.827895
255.693476,190,1050.607103
270.30963,154,1052.04732
274.332229,185,1053.782509
273.272163,157,1055.259651
274.250533,168,1056.832662
276.220462,161,1058.340884
263.876305,190,1060.117605
270.147954,154,1061.562699
276.887906,161,1066.272703
273.191755,161,1067.790848
263.089955,190,1069.569701
272.925542,181,1071.271692
267.087649,190,1073.056381
275.161276,185,1074.784759
269.20362,190,1076.55871
272.532489,187,1078.30522
276.430557,178,1079.964364
273.761927,168,1081.533472
268.699885,168,1083.103023
264.481369,176,1084.747142
276.391343,185,1086.476023
276.178909,190,1088.249513
272.102416,178,1089.908829
267.148717,179,1091.579525
274.075202,157,1093.049211
267.497835,166,1094.605334
274.209898,178,1096.276797
277.568841,185,1098.009463
272.987422,168,1099.588042
265.786733,190,1101.367061
273.635913,168,1102.942121
279.867087,157,1104.406502
273.788389,161,1105.909148
272.084025,187,1107.653577
275.615139,154,1109.092738
284.299465,178,1110.761665
282.686348,190,1112.543273
260.943699,182,1114.244461
263.182806,190,1116.026966
271.237976,190,1117.813345
272.556203,176,1119.467655
278.731899,161,1120.979847
267.32522,157,1122.456016
266.64219,190,1124.241346
268.818664,190,1126.017162
255.665342,190,1127.788911
267.315458,190,1129.557918
274.276545,154,1130.994706
269.816787,179,1132.67643
271.276951,161,1134.183047
268.503629,179,1135.857658
271.18487,190,1137.637827
266.39,182,1139.34057
256.312988,190,1141.11985
280.834799,178,1142.782814
255.361908,190,1144.558641
277.753876,190,1146.332757
267.728936,168,1147.896565
263.692081,176,1149.544485
267.151601,176,1151.186271
273.026958,161,1152.69483
263.69196,190,1154.478322
268.494933,182,1156.191128
276.58406,161,1157.696984
273.871951,187,1162.666207
278.556013,185,1164.379964
269.215378,179,1166.013041
274.411548,168,1167.544271
268.837009,166,1169.064241
272.230404,190,1170.799866
279.885851,190,1172.533935
266.493541,166,1174.046443
276.282324,179,1175.682504
278.635719,190,1177.418507
274.197393,190,1179.155849
257.850044,190,1180.892308
277.343236,185,1182.579357
266.556087,168,1184.107717
277.543633,190,1185.840285
263.75757,182,1187.505632
257.158499,182,1189.165443
267.650369,166,1190.682211
272.698563,190,1192.41562
277.575503,185,1194.106334
268.025761,190,1195.839522
269.467165,168,1197.369936
271.566669,190,1199.101771
265.140254,190,1200.837822
264.475516,182,1202.497869
269.364582,190,1204.233605
265.096475,182,1205.893127
275.465411,161,1207.359359
263.231522,182,1209.019783
274.967265,190,1210.754464
285.384823,178,1212.379106
270.456099,166,1213.894869
271.594026,154,1215.300914
261.545952,182,1216.961786
275.486624,185,1218.64986
271.639087,187,1220.353933
270.944863,187,1222.058848
272.757518,154,1223.461776
276.441907,185,1225.151108
264.176919,190,1226.882347
274.245202,161,1228.35135
268.105117,179,1229.982788
269.22969,154,1231.387773
279.120306,190,1233.116583
270.970544,168,1234.65012
278.042944,161,1236.117335
281.037763,174,1237.702042
269.002122,190,1239.437589
278.785025,157,1240.871391
274.718618,190,1242.605011
267.000791,176,1244.209276
278.428135,190,1245.942159
274.378797,187,1247.646018
272.959978,190,1249.381018
278.249397,157,1250.810519
281.572372,190,1252.538798
273.091559,181,1257.218736
277.936918,178,1258.854343
280.697385,157,1260.289505
270.112867,168,1261.819525
278.646325,157,1263.252519
265.893154,190,1264.986236
270.352638,187,1266.689406
283.433109,190,1268.422364
279.249174,157,1269.857591
288.339729,174,1271.446273
276.335738,157,1272.879814
284.024308,178,1274.50094
272.817478,185,1276.190512
285.731081,190,1277.930266
279.785431,190,1279.666619
268.348556,190,1281.404057
272.900551,185,1283.095278
257.695689,190,1284.830963
280.988131,179,1286.466451
285.146139,178,1288.094231
263.353502,182,1289.756209
275.110686,154,1291.161216
285.692912,161,1292.63474
272.35608,154,1294.039471
285.640133,174,1295.628231
276.589634,187,1297.33716
279.340615,190,1299.074533
273.197992,154,1300.485429
281.295287,157,1301.916315
271.153428,176,1303.522636
275.6606,187,1305.230658
283.616709,174,1306.816634
281.140898,190,1308.551213
266.006713,190,1310.289799
275.807579,168,1311.821882
274.601685,176,1313.430862
279.842507,154,1314.83871
284.549633,174,1316.426193
277.270866,166,1317.942885
282.524024,178,1319.569674
272.944173,190,1321.303802
280.338232,185,1322.993571
269.7505,176,1324.603172
276.004215,185,1326.286694
273.257615,179,1327.915784
287.203154,161,1329.38389
277.01109,154,1330.784879
285.746354,190,1332.516644
279.577584,166,1334.028902
270.57321,168,1335.56633
272.148588,187,1337.274214
265.295673,190,1339.006078
283.660582,157,1340.439947
275.055945,187,1342.144854
272.70366,161,1343.613642
286.352232,174,1345.203879
277.850488,187,1346.909363
279.215247,190,1351.696648
283.105912,161,1353.175436
279.535344,166,1354.700812
267.842177,182,1356.371072
277.609347,187,1358.096343
281.523521,178,1359.72565
278.348138,185,1361.421133
270.01026,190,1363.162771
275.398596,187,1364.873359
280.515527,190,1366.606188
277.741919,179,1368.236313
275.929707,154,1369.646514
281.377372,190,1371.382642
263.561072,190,1373.112807
283.437118,161,1374.580287
276.44221,190,1376.310149
270.493136,176,1377.918125
284.949522,157,1379.350724
278.899692,157,1380.782481
285.516832,161,1382.249696
286.338048,157,1383.677272
279.465419,179,1385.316337
282.107122,190,1387.053729
275.042742,181,1388.707848
262.617616,190,1390.440286
273.524104,179,1392.073066
287.754183,178,1393.692116
279.628129,157,1395.125563
278.104206,187,1396.828232
275.460683,179,1398.461223
279.651411,190,1400.191085
265.101706,190,1401.928714
272.859651,168,1403.465558
282.673736,166,1404.982587
265.105853,190,1406.720752
273.427677,179,1408.354015
275.061075,187,1410.062432
286.349871,174,1411.654498
266.854999,190,1413.389421
268.350328,190,1415.123749
285.485224,157,1416.551259
272.270136,190,1418.284981
279.592785,185,1419.978877
286.896483,161,1421.450847
278.118282,190,1423.181428
285.215921,178,1424.806164
265.817987,190,1426.540891
276.488367,168,1428.072004
275.141231,185,1429.761695
276.662426,190,1431.499574
275.690225,190,1433.239876
272.770827,190,1434.980507
287.037689,157,1436.411027
282.043238,190,1438.148369
270.374185,190,1439.888584
280.440506,185,1441.578521
276.157226,166,1446.125203
280.999272,185,1447.825528
281.104496,168,1449.359877
275.237164,190,1451.097531
264.284987,190,1452.839487
283.645647,178,1454.465167
276.52088,179,1456.106403
282.680159,161,1457.579595
285.905602,185,1459.276822
288.628887,174,1460.871213
281.696892,185,1462.560324
290.023798,174,1464.148472
289.25623,174,1465.7377
278.186211,179,1467.373405
273.57962,190,1469.110616
268.617867,190,1470.845846
283.489902,178,1472.470185
272.660474,179,1474.10717
279.626862,190,1475.842212
277.659966,168,1477.378148
285.491542,154,1478.785971
270.937125,176,1480.396045
290.381498,157,1481.83163
273.041923,176,1483.443745
274.537947,154,1484.854892
282.339754,168,1486.394187
277.688707,187,1488.097058
266.397009,190,1489.828731
268.585264,190,1491.564289
281.857051,154,1492.969294
268.859362,190,1494.701022
288.204382,178,1496.32783
279.768096,181,1497.979019
