Fecha;Dias_Plantacion;GDU_Acumulado;Temp_Max_C;Temp_Min_C;Temp_Suelo_C;Humedad_Relativa_pct;Velocidad_Viento_ms;Precipitacion_Hoy_mm;ETo_mm;Riego_Recomendado_mm;Precip_Manana_mm;ETo_Manana_mm;Precio_Agua_Hoy
01/01/2005;0;0,0000;0,1500;-1,9800;0,0000;100,0000;0,9400;0,0000;0,2600;0,0000;0,9550;0,2505;0,0551
02/01/2005;0;0,0000;3,2900;-2,3800;0,0000;100,0000;1,0500;0,0000;0,2500;0,0000;0,0000;0,2571;0,0325
03/01/2005;0;0,0000;6,2300;-4,3100;0,0000;97,1400;0,8800;0,0000;0,2900;0,0000;0,4460;0,2814;0,0234
04/01/2005;0;0,0000;6,5400;-5,1100;-0,5550;93,3000;0,9100;0,0000;0,3100;0,0000;0,4150;0,2732;0,0200
05/01/2005;0;0,0000;-0,1900;-3,7800;-0,7875;99,2000;0,6800;0,0000;0,2800;0,0000;0,2290;0,3615;0,0347
06/01/2005;0;0,0000;7,6800;-5,1100;-0,9375;96,9000;0,7700;0,0000;0,3300;0,0000;0,4860;0,2776;0,0397
07/01/2005;0;0,0000;2,1500;-4,7700;-0,9900;98,5000;0,6800;0,0000;0,2900;0,0000;0,5800;0,2681;0,0452
08/01/2005;0;0,0000;-0,9100;-3,7800;-1,3675;100,0000;0,9500;0,0000;0,2600;0,0000;0,0960;0,2040;0,0248
09/01/2005;0;0,0000;-1,1800;-6,1800;-2,0075;100,0000;0,7200;0,0000;0,2200;0,0000;0,1080;0,2536;0,0356
10/01/2005;0;0,0000;-2,8500;-6,3800;-2,9450;99,9000;0,5800;0,0000;0,2500;0,0000;0,7590;0,3765;0,0439
11/01/2005;0;0,0000;-0,3100;-4,2500;-3,2375;100,0000;0,4400;0,0000;0,2900;0,0000;0,3690;0,3555;0,0690
12/01/2005;0;0,0000;3,6900;-0,3800;-2,2550;100,0000;0,6000;0,5200;0,3300;0,0000;3,5310;0,3073;0,0432
13/01/2005;0;0,0000;5,5500;2,6900;-0,2100;100,0000;0,7000;3,1000;0,3700;0,0000;0,3880;0,3488;0,0413
14/01/2005;0;0,0000;7,0100;2,8200;2,1325;99,9000;1,1000;0,0000;0,3700;0,0000;0,0000;0,4865;0,0235
15/01/2005;0;0,0000;6,5400;0,4900;3,6925;97,4000;1,1600;0,0000;0,4400;0,0000;0,0000;0,4029;0,0336
16/01/2005;0;0,0000;9,2000;-2,5100;3,7125;89,9000;0,7600;0,0000;0,4900;0,0000;0,0000;0,3829;0,0476
17/01/2005;0;0,0000;8,7400;-4,3100;2,8525;92,3000;0,8500;0,0000;0,4700;0,0000;0,3800;1,0815;0,0289
18/01/2005;0;0,0000;8,2800;-3,5800;2,4800;82,0000;4,1400;0,0000;0,9500;0,0000;0,2230;1,1135;0,0308
19/01/2005;0;0,0000;9,8100;-0,1100;2,6700;78,2000;4,4500;0,0000;1,1900;0,0000;0,1760;1,0825;0,0469
20/01/2005;0;0,0000;13,6000;-2,2500;3,5075;74,9000;1,2800;0,0000;0,9800;0,0000;1,5750;0,4511;0,0492
21/01/2005;0;0,0000;6,4100;-5,1800;3,2875;88,7000;0,9200;0,0000;0,4600;0,0000;0,5540;0,3108;0,0306
22/01/2005;0;0,0000;0,6800;-5,0000;2,0750;98,9600;0,7700;0,0000;0,3300;0,0000;0,1110;0,6357;0,0530
23/01/2005;0;0,0000;8,4100;-4,9800;0,8775;95,5000;0,9500;0,0000;0,5100;0,0000;0,0210;1,0369;0,0297
24/01/2005;0;0,0000;6,1400;-5,8400;-0,3650;78,4000;2,1200;0,0000;0,9300;0,0000;0,0000;1,1464;0,0264
25/01/2005;0;0,0000;3,3500;-3,0500;-0,3875;74,6000;3,9400;0,0000;1,1400;0,0000;0,9860;1,9682;0,0378
26/01/2005;0;0,0000;2,5500;-5,8400;-0,3225;65,6300;5,0300;0,0000;1,4400;0,0000;0,0590;1,0231;0,0352
