Fecha;Temporada;Dias_Plantacion;Dr_TAW_Ratio;Lluvia_Hoy_mm;ETo_Hoy_mm;Riego_Decidido_IA_mm
23/04/2005;2005;1;0,0;0,0;2,18;29,91
24/04/2005;2005;2;0,0;0,0;2,61;11,71
25/04/2005;2005;3;0,0;0,0;3,93;29,23
26/04/2005;2005;4;0,0;0,0;3,7;25,56
27/04/2005;2005;5;0,0;0,195;4,3;9,21
28/04/2005;2005;6;0,0;0,179;4,96;5,11
29/04/2005;2005;7;0,048;0,301;5,06;22,18
30/04/2005;2005;8;0,0;0,0;4,9;26,12
01/05/2005;2005;9;0,0;0,163;4,16;6,11
02/05/2005;2005;10;0,0;0,0;4,56;22,71
03/05/2005;2005;11;0,0;0,146;3,25;15,18
04/05/2005;2005;12;0,0;0,0;4,0;28,0
05/05/2005;2005;13;0,0;0,0;4,42;26,33
06/05/2005;2005;14;0,0;0,0;4,64;25,38
07/05/2005;2005;15;0,0;0,0;4,92;26,25
08/05/2005;2005;16;0,0;0,313;5,25;2,74
09/05/2005;2005;17;0,247;0,0;5,0;28,16
10/05/2005;2005;18;0,0;0,756;2,6;13,65
11/05/2005;2005;19;0,0;4,076;1,78;3,84
12/05/2005;2005;20;0,0;1,586;2,84;2,4
13/05/2005;2005;21;0,0;0,0;2,58;8,19
14/05/2005;2005;22;0,0;0,604;3,78;29,42
15/05/2005;2005;23;0,0;0,419;3,79;25,89
16/05/2005;2005;24;0,0;2,357;1,82;5,88
17/05/2005;2005;25;0,0;0,0;3,97;29,74
18/05/2005;2005;26;0,0;0,0;4,54;27,46
19/05/2005;2005;27;0,0;0,144;5,26;28,98
20/05/2005;2005;28;0,0;0,817;5,44;26,43
21/05/2005;2005;29;0,0;0,788;3,5;28,95
22/05/2005;2005;30;0,0;0,21;4,65;28,16
23/05/2005;2005;31;0,0;0,023;4,61;21,24
24/05/2005;2005;32;0,0;0,0;5,25;7,99
25/05/2005;2005;33;0,0;0,0;6,37;20,52
26/05/2005;2005;34;0,0;0,747;6,43;12,4
27/05/2005;2005;35;0,0;0,0;6,75;1,61
28/05/2005;2005;36;0,267;0,179;5,83;27,91
29/05/2005;2005;37;0,0;0,0;3,33;7,38
30/05/2005;2005;38;0,0;0,0;5,43;4,34
31/05/2005;2005;39;0,073;0,469;5,45;29,35
01/06/2005;2005;40;0,0;0,415;5,81;18,33
02/06/2005;2005;41;0,0;0,0;5,93;21,52
03/06/2005;2005;42;0,0;0,0;6,6;19,35
04/06/2005;2005;43;0,0;0,22;5,66;28,31
05/06/2005;2005;44;0,0;0,93;5,87;27,95
06/06/2005;2005;45;0,0;0,0;6,08;16,46
07/06/2005;2005;46;0,0;0,411;6,22;19,49
08/06/2005;2005;47;0,0;0,339;6,9;3,69
09/06/2005;2005;48;0,106;0,0;6,47;26,64
10/06/2005;2005;49;0,0;0,0;5,22;28,68
11/06/2005;2005;50;0,0;0,853;6,51;1,8
12/06/2005;2005;51;0,111;0,0;6,19;25,52
13/06/2005;2005;52;0,0;0,0;3,98;27,08
14/06/2005;2005;53;0,0;0,893;5,16;10,68
15/06/2005;2005;54;0,0;0,0;5,48;4,83
16/06/2005;2005;55;0,032;0,0;6,02;10,46
17/06/2005;2005;56;0,0;0,96;6,4;24,42
18/06/2005;2005;57;0,0;0,0;6,99;26,21
19/06/2005;2005;58;0,0;0,195;6,44;4,04
20/06/2005;2005;59;0,057;0,062;5,77;6,62
21/06/2005;2005;60;0,053;0,208;5,9;25,59
22/06/2005;2005;61;0,0;0,268;5,69;2,44
23/06/2005;2005;62;0,057;0,244;5,75;0,07
24/06/2005;2005;63;0,145;0,0;5,84;29,97
25/06/2005;2005;64;0,0;0,1;5,48;20,12
26/06/2005;2005;65;0,0;0,0;5,91;2,64
27/06/2005;2005;66;0,051;0,0;6,34;10,53
28/06/2005;2005;67;0,015;0,271;5,47;2,89
29/06/2005;2005;68;0,054;0,0;4,96;8,89
30/06/2005;2005;69;0,017;0,0;5,9;1,97
01/07/2005;2005;70;0,074;0,484;5,56;25,42
02/07/2005;2005;71;0,0;0,711;5,94;4,26
03/07/2005;2005;72;0,019;0,215;7,62;0,93
04/07/2005;2005;73;0,1;0,0;6,29;26,48
05/07/2005;2005;74;0,0;0,0;5,96;23,02
06/07/2005;2005;75;0,0;0,679;5,87;27,88
07/07/2005;2005;76;0,0;0,0;6,11;12,21
08/07/2005;2005;77;0,0;0,0;5,57;22,82
09/07/2005;2005;78;0,0;0,0;5,54;25,53
10/07/2005;2005;79;0,0;0,105;5,79;9,92
11/07/2005;2005;80;0,0;0,33;5,99;22,18
12/07/2005;2005;81;0,0;0,863;6,2;8,42
13/07/2005;2005;82;0,0;0,262;5,98;20,55
14/07/2005;2005;83;0,0;0,0;6,77;21,96
15/07/2005;2005;84;0,0;0,0;6,47;16,5
16/07/2005;2005;85;0,0;0,249;6,41;9,56
17/07/2005;2005;86;0,0;0,432;5,14;15,7
18/07/2005;2005;87;0,0;0,002;5,78;6,16
19/07/2005;2005;88;0,004;0,0;5,4;10,38
20/07/2005;2005;89;0,0;0,0;6,01;10,81
21/07/2005;2005;90;0,0;0,0;5,98;16,71
22/07/2005;2005;91;0,0;0,345;5,82;26,14
23/07/2005;2005;92;0,0;0,51;6,18;27,66
24/07/2005;2005;93;0,0;0,0;5,72;6,26
